YYYYMMDD,Client/Category/Study,Hours,Percentage,TotalOfDay
20250106,IVS - Admin,3.33,64.67,5.16
20250106,Curie - BD,1.82,35.33,5.16
20250107,IVS - Admin,5.15,82.09,6.28
20250107,Curie - BD,1.12,17.91,6.28
20250108,Axonis - Study - Coinshot,4.75,45.41,10.46
20250108,IVS - Scientific,2.52,24.10,10.46
20250108,Curie - BD,1.71,16.38,10.46
20250108,Neurvati - BD,0.88,8.37,10.46
20250108,IVS - Admin,0.60,5.74,10.46
20250109,IVS - Admin,4.62,58.20,7.93
20250109,UCB - BD,1.32,16.59,7.93
20250109,Axonis - Study - Coinshot,1.00,12.60,7.93
20250109,Axonis - BD,1.00,12.60,7.93
20250110,IVS - Admin,5.90,72.74,8.12
20250110,Psyence - BD,1.50,18.48,8.12
20250110,Neurvati - BD,0.71,8.78,8.12
20250111,IVS - Admin,3.47,100.00,3.47
20250112,IVS - Admin,3.45,100.00,3.45
20250113,IVS - Study - Kasparov,2.10,29.27,7.17
20250113,IVS - Admin,1.94,27.05,7.17
20250113,IVS - Scientific,1.25,17.42,7.17
20250113,BHVN - Study - Ivanchuk,1.17,16.28,7.17
20250113,Axonis - BD,0.72,9.99,7.17
20250114,IVS - Admin,5.29,62.58,8.45
20250114,IVS - Scientific,1.42,16.81,8.45
20250114,Xenon - BD,1.42,16.76,8.45
20250114,BHVN - Study - Ivanchuk,0.33,3.86,8.45
20250115,IVS - Admin,3.42,32.39,10.55
20250115,IVS - Study - Gemheart,2.64,25.05,10.55
20250115,IVS - Scientific,2.34,22.21,10.55
20250115,Xenon - BD,1.15,10.87,10.55
20250115,Neurvati - Study -Gemheart,1.00,9.48,10.55
20250116,Curie - BD,4.54,54.05,8.40
20250116,IVS - Admin,2.54,30.27,8.40
20250116,Axonis - BD,1.32,15.68,8.40
20250117,IVS - Admin,3.07,42.56,7.22
20250117,Axonis - BD,1.93,26.76,7.22
20250117,Xenon - BD,1.47,20.30,7.22
20250117,Neurvati - Study - Gemheart,0.75,10.38,7.22
20250119,IVS - Admin,2.23,77.29,2.89
20250119,Jazz - Study - Hawkmoon,0.66,22.71,2.89
20250120,IVS - Admin,1.67,27.31,6.13
20250120,Jazz - Study - Hawkmoon,1.65,26.93,6.13
20250120,IVS - Study - Crota,0.88,14.42,6.13
20250120,Xenon - BD,0.82,13.32,6.13
20250120,IVS - Study - Kasparov,0.63,10.22,6.13
20250120,BHVN - Study - Aronian,0.48,7.80,6.13
20250121,BHVN - Study - Aronian,3.50,31.50,11.11
20250121,Axonis - Study - Elantris,2.96,26.63,11.11
20250121,Jazz - Study - Hawkmoon,2.80,25.22,11.11
20250121,IVS - Admin,1.35,12.15,11.11
20250121,Neurvati - Study - Gemheart,0.50,4.50,11.11
20250122,IVS - Admin,3.22,44.17,7.29
20250122,BHVN - Study - Ivanchuk,2.08,28.58,7.29
20250122,Jazz - Study - Hawkmoon,1.13,15.55,7.29
20250122,IVS - Study - Crota,0.85,11.70,7.29
20250123,IVS - Admin,3.43,34.69,9.90
20250123,IVS - Study - Basilius,2.90,29.33,9.90
20250123,Jazz - Study - Hawkmoon,2.06,20.82,9.90
20250123,IVS - BD,1.50,15.16,9.90
20250124,IVS - Admin,2.71,45.84,5.91
20250124,BHVN - Study - Aronian,1.50,25.37,5.91
20250124,BHVN - Study - Ivanchuk,1.42,23.96,5.91
20250124,Jazz - Study - Hawkmoon,0.28,4.82,5.91
20250126,Neurvati - Study - Gemheart,0.99,43.12,2.29
20250126,BHVN - Study - Ivanchuk,0.81,35.23,2.29
20250126,BHVN - BD,0.25,10.92,2.29
20250126,Axonis - BD,0.25,10.73,2.29
20250127,IVS - Admin,3.22,58.16,5.54
20250127,BHVN - Study - Ivanchuk,2.32,41.84,5.54
20250128,BHVN - Study - Bronstein,5.00,40.61,12.31
20250128,Jazz - Study - Hawkmoon,3.40,27.62,12.31
20250128,BHVN - BD,1.28,10.42,12.31
20250128,IVS - Admin,1.08,8.80,12.31
20250128,BHVN - Study - Aronian,0.79,6.45,12.31
20250128,Xenon - BD,0.75,6.09,12.31
20250129,Axonis - Study - Coinshot,4.02,59.23,6.79
20250129,Jazz - Study - Hawkmoon,2.27,33.40,6.79
20250129,IVS - Admin,0.50,7.37,6.79
20250130,Axonis - Study - Elantris,3.67,42.15,8.70
20250130,Axonis - Study - Coinshot,2.70,31.02,8.70
20250130,IVS - Admin,1.08,12.45,8.70
20250130,BHVN - BD,0.50,5.75,8.70
20250130,IVS - Scientific,0.50,5.75,8.70
20250130,Axonis - BD,0.25,2.87,8.70
20250131,IVS - Scientific,2.75,42.31,6.50
20250131,Neurvati - Study - Gemheart,2.50,38.46,6.50
20250131,Xenon - BD,1.25,19.23,6.50
