
Horacio Silva,8-11,9-12,8-11,12,5-8,9,11-15,8-11,13,10,4-7,12,12,7,13,13-16,6-9,12-15,14,17,7-10,8,8-11,13,18,7-11,16,16,16-19,11-14,10,12-16,14,17,12
Ednei,11-13,15,11,16,7-9,7,10,3-5,6-8,13,9-12,5-7,17,14,11-14,5-7,12-14,7-9,11-13,14,15,8-11,15,2-4,11-13,14,12,16,17-20,16-18,5,12-15,16,12,9
Loren Nagle,6-9,10,4-6,9,6-8,14,9,9-12,13,11,9-11,13,9,10,12,7,13,15,14,12,6-9,12,9,15,9,12,12,12,14,18,18,16,13,16,14
Kamil Iskra,8-12,9-12,11,12,15-18,9,10-13,3-6,5-9,14,5-8,5-9,14,8-12,9-12,6-9,12-15,8-12,11-14,14-17,10-14,11-15,11-14,10-13,13-17,13-17,10-13,14,11-14,13-16,9,13-17,13,12-15,13
Amer Gojak,10-13,10-14,5-8,11-14,6-9,9,9-13,3-6,9-12,11-15,6-10,11-14,11-15,11-15,10-14,12-15,12-15,12-15,9-13,15-18,11-14,8-12,12-16,8-11,14-17,14-17,15-19,12,11-15,11-14,13,15-19,12,13-17,11-14
Lee Jung-Soo,7-11,6-10,2-6,8,6-10,12,6-11,4-8,14,11,3-7,16,8-13,5-11,11-15,7-11,9-13,14-18,13-18,11,10-14,10-16,4-8,18,8-13,6-11,14-19,10-16,11-15,15-19,16,11-17,8-13,14-19,16
Mohamed Amrani,5-7,10,6-9,13,2-5,8,8,11-13,15,11,5-7,15,15,14,14,9,12,15,14,12,7-9,9,7,15,16,12,13,17,16,16,10,13,16,16,13
Parfait Guiagon,12-15,14-18,7-10,12-15,7-10,10,11-15,5-8,8-11,13-17,6-10,10-13,12-16,8-12,12-16,9-12,10-13,12-15,11-15,13-16,13-16,11-15,12-16,8-11,12-15,17-20,9-13,14,16-20,6-9,4,9-13,14,11-15,10-13
Titas Baranauskas,8-12,14-19,12,17,7-11,9,10-16,3-7,8-12,12,9-14,6-10,17,4-9,13-18,5-9,11-15,10-14,10-16,12-16,15-19,1-4,14-19,6-10,13-17,16-20,8-14,12,14-19,11-15,12,10-15,14,11-17,12
Michael Olise,13-16,14-18,8-11,16-20,14-17,5,11-15,5-9,3-6,16-19,11-15,7-10,12-16,5-8,11-15,6-9,15-19,9-12,10-14,11-15,13-16,7-10,13-17,5-8,11-14,14-17,8-12,15,15-19,13-16,12,14-17,14,11-15,8-12
Adrian Semper,1-2,1,1-4,9-12,6-9,1-5,1-3,2-5,1-2,11-15,1-4,1-3,7-10,10-14,11-14,12-15,13-16,7-11,11-14,12-15,1-4,11-15,2-5,14-17,7-11,10-14,9-12,13-17,11-14,12-15,13-17,12-16,10-14,7-10,11-14
