
Alexandr Sobolev,8-10,12,13,13,10-12,14,12,1-2,8-10,12,11-13,6-9,15,11-13,12-14,12-14,12-14,14-16,11-14,11-13,15-17,11-13,14,11-13,10-13,13,12,10,13-15,12-14,16,12-14,13,12-15,14
Job Oduor,6-9,5-8,2-5,12,7-10,13,9-13,3-6,13,10,6-9,16,7-11,13-17,13-16,17-20,6-9,14-17,11-15,11,6-9,11-15,6-9,13,5-9,7-11,9-13,10-14,7-10,15-18,16,5-9,7-11,11-15,14
Alvyn Sanches,8-10,15,10,14,2-5,10,13,10-12,6-8,15,6-8,10-13,15,14-16,12-14,8-11,15-17,7-9,12-14,14-16,11-13,6-8,17,7-10,14-17,14,12,13,13-15,11-14,12,6-8,13,9-11,11
Freddie Davidson,6-9,16,16,16,8-11,7,10,5-8,5-8,10,5-9,2-5,16,6,12-16,7-10,7-10,5-8,11-15,18,15,4-8,14,3-6,7-10,9,10,17,18-20,14-17,7,8-12,17,13,8
Almamy Touré,4-7,7-11,6-10,9-13,5-9,10,7-10,10-14,14,12-15,6-10,14,13-16,10-13,11-15,12-16,10-14,11-14,12-15,11-15,8-11,9-12,6-10,13-17,11-14,9-12,12-15,12-15,9-13,12-16,13,15-18,10-13,12-15,11-15
Yari Verschaeren,14-16,16,10,14,11-13,7,14,9-11,8-10,15,11,2-5,17,12,14-16,13-15,15,14-16,15,15,15,13-15,12,11-13,13,18,14,13,15-17,8-10,5,13,13,15,9
Sergio,6-9,10-12,6-8,11,5-7,11,8-10,10-13,10,12,7-9,15,10,8,12,11-13,10-13,11-14,15,9,11-14,4,12-14,12,13,10-12,13,17,16-18,12-14,4,14-16,16,18,10
Cristian Pavón,12-15,13,11,11,11-13,6,11,1-3,4-7,12,15,4-6,12,7,11-13,11-13,14,11-14,9,16,8,5-7,13,7-9,13,10,16,16,15-17,6-8,5,20,15,17,10
Neil Read,10-14,13-16,10,15,3-7,7,5-8,4-7,2-6,11,7-10,1-5,15,7-10,12-15,5-9,11-14,7-11,10-13,11-14,11-15,5-8,12-15,3-7,8-12,11-15,8-11,18,15-18,10-14,7,8-11,16,11-14,10
Nazareno Cornelio,5-8,8-12,2-5,9,6-9,15-18,9,3-6,12-15,11,5-9,12,9-13,10-14,11-15,9-12,10-13,12-15,11-15,12-15,8,9-13,6-10,11-14,16,11,16,11-15,12-16,10-13,10-13,11-15,12-15,15-19,18
Jefferson,5-9,12-15,3-7,13,4-8,9,4-7,5-9,12,12,9-12,15,14-17,13-16,14-17,11-15,8-12,12-16,12-15,15,5-9,3-6,11-14,13,13-16,11-14,16-19,13-16,17-20,17-20,10,8-11,14-17,17-20,14
Issa Diop,2,9,5-7,12,5,16,9,8,13,10,4-6,15,11,14,15,12,12,13,14,15,3,15,11,14,13,9,13,14,11,14,16,16,14,13,15
Xaver Schlager,4-7,9-13,8-11,15,6-9,7-10,9-13,8-12,9-12,14,7-11,13,11-15,17-20,13-17,14-17,13-17,10-13,10-14,15-19,10-13,13-16,10-14,10-13,13-16,15-18,14-18,12-15,11-15,12-15,6-9,17-20,10-13,12-16,11
Lautaro Morales,4-7,1-2,1-3,6-9,5-8,1-2,2-6,1-2,3-6,10-14,1-2,1-3,2-6,10-14,9-12,13-16,9-12,14-17,15-19,12-15,1-4,9-13,1-2,11-14,8-12,8-12,6-10,12-16,11-14,12-15,12-15,9-13,11-15,3-7,6-9
Fabio Florit,7-9,10-12,6-8,12,1-3,9,7-10,8-10,12,11,6-8,12,12-15,11-13,13,15-17,9-11,12-14,12,16,9-11,7-9,10-12,13,10-13,8-11,13,13,14-16,15-17,3,12-14,13,16-19,11
Nadiem Amiri,13-16,10-14,9-13,10-14,12-16,5,13-16,4-8,7-10,14-17,9-13,8-11,14-17,16-19,11-15,13-17,10-14,9-12,10-13,14-18,13-16,10-13,12-16,9-13,12-15,13-16,17-20,12,11-15,12-16,10,15-18,14,16-19,8-12
Ravil Tagir,6-9,10-14,6-10,12-16,5-9,15,8-11,4-8,13,13-16,3-7,14,15-18,9-12,11-15,11-15,13-17,13-16,13-16,6,7-10,10-13,6-10,16,8-11,11-14,13-16,13-16,13-17,14-18,14,12-15,11-14,16-19,12-16
José Campaña,12-15,7-11,8-12,13-17,12-16,9,12-15,2-6,6-9,15-18,8-12,9-12,15-18,9-12,12-16,10-14,15-19,12-15,15-18,12-16,13-16,12-15,9-13,11-15,11-14,11-14,12-15,8,6-10,9-13,8,12-15,8,10-13,3-7
Nicolò Rovella,11-15,11-14,6-10,14,10-14,9-13,9-12,8-11,10-14,14,10-13,13,10-13,11-14,10-13,7-11,12-15,11-15,11-14,18-20,12-16,8-11,11-14,10-14,11-15,14-18,10-13,11-14,12-15,12-16,11-15,11-14,11-15,12-15,12
Enzo Barrenechea,8-12,10-13,6-9,15,10-13,9-13,8-11,5-8,7-11,15,6-9,8,12-15,10-14,13-16,11-14,12-15,9-13,12-15,12-15,11-15,11-15,11-14,14-17,10-14,15-19,11-14,12-16,11-14,15-18,11-15,14-18,12-16,12-15,14
Mostafa Mohamed,5-8,9-13,13-17,13-17,5-9,16,12-15,6-10,4-7,11-14,11-15,1-4,14-17,11-14,10-14,14-18,14-18,13-16,11-14,13-17,11-14,7-10,9-13,8-12,11-14,9-12,13-16,12,12-16,14-18,15,14-17,13,13-16,11-15
Chuma Jane,6-11,10-14,8-12,13,11-15,7-13,9,7-11,2-7,13,2-6,8,13-17,10-15,7-11,9-13,10-14,4-9,10-14,14-18,12,11-16,9-13,6-10,16,9,13,14-19,13-17,11-15,9-14,11-16,11-17,10-14,12
Luis Acevedo,4-8,7-10,1-4,12,1-4,9,6-9,8-11,11,11,6-9,13,9-12,5-8,11-14,13-17,12-15,12-16,10-13,15,7-11,1-4,6-9,11,10-14,11-15,11-14,12-15,16-19,11-15,7,11-14,14-18,13-16,11
Hanan Ben David,6-9,9-13,4-7,11,5-8,11,10-14,9-13,11,11,5-9,14,11-15,9-12,11-15,12-15,10-14,11-14,9-13,15,6-9,7-10,8-12,11,14-17,9-12,9-13,15-18,14-18,15-18,13,16-19,14-17,14-18,13
Eduard Sobol,11-14,10-12,8-10,12,15-17,5,9-11,6-9,13,12,13-15,13,13-15,8-10,10,9-11,10-13,15-18,11,13,13-16,9-11,11-13,13,13-15,11-13,14,15,15-17,8-10,11,8-10,14,13-15,12
Agustín Rossi,4-7,1-5,1-2,7-10,4-7,2-5,1-5,1-3,1-3,8-12,2-6,2-5,6-10,5-9,11-15,11-14,14-17,10-13,10-14,13-16,3-6,7-11,7-11,11-14,14-17,8-11,7-11,9-13,13-17,9-12,16-19,12-16,11-14,9-13,12-15
