Date,Client/Category/Study,Hours,Percentage,Time Range
2023-12-01,Sensorium - Study - Kalak,7.31,68.26,"00:15-00:59, 12:15-17:00, 19:52-21:17, 21:48-22:12"
2023-12-01,IVS - Study - Mammothcave,2.90,27.07,09:21-12:15
2023-12-01,IVS - Admin,0.50,4.67,17:00-17:30
2023-12-01,Total,10.71,100.00,

2023-12-02,Sensorium - Study - Kalak,1.36,100.00,10:37-11:58
2023-12-02,Total,1.36,100.00,

2023-12-03,Encoded - Study - Glys,1.33,100.00,23:14-00:33
2023-12-03,Total,1.33,100.00,

2023-12-04,BHVN - Study - Vandell,3.18,46.77,12:31-15:42
2023-12-04,IVS - Admin,2.23,32.88,"10:17-11:07, 15:42-17:06"
2023-12-04,BHVN - Study - Ulric,0.66,9.75,"00:55-01:17, 01:30-01:47"
2023-12-04,Sea4Us - BD,0.47,6.87,11:08-11:36
2023-12-04,MGC - BD,0.25,3.72,11:36-11:51
2023-12-04,Total,6.79,100.00,

2023-12-05,IVS - BD,3.03,40.44,"00:45-01:25, 10:00-12:22"
2023-12-05,MGC - BD,1.27,16.91,15:09-16:26
2023-12-05,IVS - Admin,1.25,16.66,13:00-14:15
2023-12-05,Ataraxia - BD,0.75,10.00,09:15-10:00
2023-12-05,Xenon - Study - Elend,0.67,8.89,14:15-14:55
2023-12-05,BHVN - Study - Zellion,0.53,7.11,23:27-23:59
2023-12-05,Total,7.50,100.00,

2023-12-06,IVS - Admin,3.40,37.23,"11:08-12:00, 14:30-17:02"
2023-12-06,Encoded - Study - Glys,2.50,27.37,12:00-14:30
2023-12-06,Jazz - BD,2.40,26.28,08:17-10:41
2023-12-06,BHVN - Study - Zellion,0.83,9.12,00:00-00:50
2023-12-06,Total,9.13,100.00,

2023-12-07,IVS - Admin,7.67,94.19,"09:30-11:00, 11:00-15:00, 15:00-17:10"
2023-12-07,Encoded - Study - Glys,0.47,5.81,00:12-00:40
2023-12-07,Total,8.14,100.00,

2023-12-08,Angelini - BD,3.84,74.85,"11:11-11:32, 11:46-15:15"
2023-12-08,Sensorium - Study - Kalak,0.78,15.20,17:28-18:15
2023-12-08,Angelini - Study - Drifter,0.51,9.95,10:40-11:11
2023-12-08,Total,5.13,100.00,

2023-12-09,Sensorium - Study - Kalak,0.70,100.00,08:05-08:47
2023-12-09,Total,0.70,100.00,

2023-12-10,Sensorium - Study - Kalak,1.61,69.67,"17:01-17:35, 22:47-23:50"
