Date,Client/Category/Study,Hours,Percentage,Time Range
2024-01-02,IVS - Admin,3.30,100.00,"12:00-13:49, 17:01-18:30"
2024-01-02,Total,3.30,100.00,

2024-01-03,IVS - BD,2.93,56.20,"10:06-11:00, 11:54-12:09, 14:51-15:25, 19:38-20:51"
2024-01-03,IVS - Admin,1.37,26.32,08:43-10:06
2024-01-03,BHVN - BD,0.91,17.48,11:00-11:54
2024-01-03,Total,5.22,100.00,

2024-01-04,IVS - BD,0.40,100.00,00:56-01:20
2024-01-04,Total,0.40,100.00,

2024-01-07,IVS - Admin,2.54,100.00,"14:17-15:36, 23:10-00:23"
2024-01-07,Total,2.54,100.00,

2024-01-08,IVS - Admin,8.15,91.58,"09:03-12:00, 12:15-16:00, 16:00-17:27"
2024-01-08,Angelini - Study - Drifter,0.75,8.42,23:15-23:59
2024-01-08,Total,8.90,100.00,

2024-01-09,Angelini - Study - Drifter,5.14,62.03,"00:00-01:53, 10:00-10:45, 13:46-13:54, 14:09-15:54, 16:27-17:04"
2024-01-09,IVS - Admin,2.76,33.34,"09:19-10:00, 10:45-12:00, 12:00-12:50"
2024-01-09,Pandeia - Study -,0.38,4.62,08:15-08:38
2024-01-09,Total,8.29,100.00,

2024-01-10,BHVN - Study - Xavier,4.00,42.14,"10:00-12:00, 13:00-15:00"
2024-01-10,IVS - Admin,3.42,36.04,"12:00-13:00, 15:00-17:11, 22:02-22:16"
2024-01-10,Ataraxia - Study -,0.93,9.83,22:49-23:45
2024-01-10,BHVN - BD,0.82,8.60,09:11-10:00
2024-01-10,Pandeia - Study -,0.32,3.39,08:09-08:28
2024-01-10,Total,9.49,100.00,

2024-01-11,BHVN - Study,4.25,46.93,11:15-15:30
2024-01-11,IVS - Admin,3.23,35.70,"09:50-11:15, 15:30-17:19"
2024-01-11,Pandeia - Study -,1.02,11.29,00:35-01:37
2024-01-11,Ataraxia - Study -,0.55,6.08,00:02-00:35
2024-01-11,Total,9.06,100.00,

2024-01-12,Angelini - Study - Drifter,3.55,59.17,"09:39-11:15, 15:43-16:25, 17:00-18:00, 20:17-20:32"
2024-01-12,Encoded - Study -,2.45,40.83,11:15-13:42
2024-01-12,Total,6.00,100.00,

2024-01-13,IVS - BD,1.01,100.00,17:41-18:41
2024-01-13,Total,1.01,100.00,

2024-01-14,IVS - BD,1.45,46.31,"09:01-09:27, 12:07-13:08"
2024-01-14,Angelini - Study - Drifter,1.16,37.17,14:00-15:10
2024-01-14,BHVN - Study - Xavier,0.52,16.52,15:56-16:27
2024-01-14,Total,3.13,100.00,

2024-01-15,IVS - Admin,1.59,17.80,"11:00-11:55, 12:13-12:53"
2024-01-15,Xenon - Study - Elend,1.37,15.29,06:00-07:22
2024-01-15,Ataraxia - Study - Gahlran,1.12,12.56,13:29-14:36
2024-01-15,Jazz - Study - Hawkmoon,1.00,11.19,10:00-11:00
2024-01-15,BHVN - Study - Taldain,0.92,10.26,16:34-17:29
2024-01-15,BHVN - Study - Nale,0.91,10.22,15:05-15:59
2024-01-15,BHVN - Study - Ulric,0.81,9.07,19:00-19:48
2024-01-15,BHVN - Study - Ulaam,0.73,8.21,09:16-10:00
2024-01-15,JW - Study - Canticle,0.48,5.41,14:36-15:05
2024-01-15,Total,8.94,100.00,

2024-01-16,BHVN - Study - Xavier,2.95,33.29,"13:53-15:13, 23:04-00:41"
2024-01-16,BHVN - Study - Vandell,1.46,16.51,08:32-10:00
