Date,Client/Category/Study,Hours,Percentage,Suggested Time Window
2024-06-01,Jazz - Study - Hawkmoon,2.98,100.00,08:35-11:33
2024-06-01,Total,2.98,100.00,08:35-11:33

2024-06-02,Angelini - Study - Drifter,1.03,52.98,23:13-00:15
2024-06-02,IVS - BD,0.91,47.02,14:13-15:08
2024-06-02,Total,1.94,100.00,14:13-16:10

2024-06-03,IVS - Admin,7.32,87.07,10:01-17:20
2024-06-03,IVS - BD,1.09,12.93,10:01-11:06
2024-06-03,Total,8.40,100.00,10:01-18:25

2024-06-04,IVS - Admin,3.68,44.04,10:37-14:18
2024-06-04,BHVN - BD,1.52,18.19,11:28-12:59
2024-06-04,Roche - Study - Hippocrates,1.47,17.62,23:42-01:10
2024-06-04,Roche - Study - Cajal,1.38,16.54,16:07-17:30
2024-06-04,Angelini - Study - Drifter,0.30,3.61,10:19-10:37
2024-06-04,Total,8.36,100.00,10:19-18:40

2024-06-05,IVS - Admin,0.71,45.00,11:29-12:12
2024-06-05,Axonis - BD,0.44,27.91,15:29-15:55
2024-06-05,Roche - Study - Cajal,0.43,27.09,11:46-12:12
2024-06-05,Total,1.57,100.00,11:29-13:03

2024-06-06,BHVN - BD,5.01,64.68,15:39-20:39
2024-06-06,IVS - BD,2.73,35.32,09:24-12:08
2024-06-06,Total,7.74,100.00,09:24-17:08

2024-06-07,Roche - Study - Hippocrates,2.25,28.85,15:00-17:15
2024-06-07,IVS - Admin,2.05,26.28,11:15-13:18
2024-06-07,Jazz - BD,1.25,16.03,11:15-12:30
2024-06-07,BHVN - BD,1.25,16.03,12:15-13:30
2024-06-07,Roche - Study - Cajal,1.00,12.82,14:00-15:00
2024-06-07,Total,7.80,100.00,11:15-19:03

2024-06-09,Jazz - Study - Hawkmoon,3.20,88.20,14:53-18:05
2024-06-09,IVS - Admin,0.43,11.80,17:31-17:57
2024-06-09,Total,3.63,100.00,14:53-18:31

2024-06-10,Ataraxia - Study - Gahlran,1.33,43.42,13:30-14:50
2024-06-10,IVS - Admin,1.00,32.56,12:00-13:00
2024-06-10,Encoded - BD,0.74,24.02,11:15-12:00
2024-06-10,Total,3.07,100.00,11:15-14:20

2024-06-12,BHVN - BD,1.90,71.70,10:52-12:46
2024-06-12,IVS - Admin,0.75,28.30,08:15-09:00
2024-06-12,Total,2.65,100.00,08:15-10:54

2024-06-13,RespireRx - BD,0.45,100.00,09:56-10:23
2024-06-13,Total,0.45,100.00,09:56-10:23

2024-06-14,Ataraxia - Study - Gahlran,0.38,100.00,13:35-13:57
2024-06-14,Total,0.38,100.00,13:35-13:57

2024-06-17,BHVN - BD,4.07,47.04,10:11-14:15
2024-06-17,Raqalia - BD,1.58,18.26,10:11-11:45
2024-06-17,IVS - Admin,1.00,11.57,12:00-13:00
2024-06-17,IVS - Scientific,1.00,11.57,13:00-14:00
2024-06-17,IVS - Study - Alhazen,1.00,11.57,14:00-15:00
2024-06-17,Total,8.65,100.00,10:11-18:49

2024-06-18,BHVN - BD,2.05,32.17,08:56-10:59
2024-06-18,Canaquest - BD,1.89,29.60,08:56-10:49
2024-06-18,Ataraxia - Study - Gahlran,1.16,18.27,13:44-14:54
2024-06-18,Encoded - BD,0.69,10.84,10:49-11:30
2024-06-18,IVS - Admin,0.58,9.12,16:04-16:39
2024-06-18,Total,6.37,100.00,08:56-15:18

2024-06-19,BHVN - Admin,3.85,33.25,13:49-17:40
2024-06-19,Roche - Study - Hippocrates,3.42,29.50,20:30-23:55
2024-06-19,IVS - Admin,2.87,24.75,09:58-12:50
2024-06-19,BHVN - Study - Gemmel,0.98,8.50,12:50-13:49
2024-06-19,Jazz - Study - Hawkmoon,0.46,4.00,09:58-10:25
2024-06-19,Total,11.58,100.00,09:58-21:32

2024-06-20,BHVN - Study - Hesho,5.25,58.64,09:45-15:00
2024-06-20,IVS - Admin,1.80,20.11,16:00-17:48
2024-06-20,Roche - Study - Hippocrates,1.47,16.43,09:45-11:13
2024-06-20,Angelini - Study - Drifter,0.43,4.82,09:45-10:10
2024-06-20,Total,8.95,100.00,09:45-18:42

2024-06-21,BHVN - BD,2.75,37.02,14:15-17:00
2024-06-21,IVS - Admin,2.10,28.20,10:16-12:22
2024-06-21,BHVN - Study - Gemmel,1.47,19.73,10:52-12:20
2024-06-21,BHVN - Study - Xavier,0.68,9.20,13:34-14:15
2024-06-21,BHVN - Admin,0.43,5.85,10:16-10:42
2024-06-21,Total,7.43,100.00,10:16-17:42

2024-06-23,IVS - Scientific,2.62,90.76,14:15-16:52
2024-06-23,IVS - Admin,0.27,9.24,13:29-13:45
2024-06-23,Total,2.89,100.00,13:29-16:22

2024-06-24,IVS - Admin,8.02,84.55,09:51-17:52
