Block,Time Range,K_Count,K_Duration,K_Percentage,M_Count,M_Duration,M_Percentage,X_Count,X_Duration,X_Percentage,Z_Count,Z_Duration,Z_Percentage
1,0.0-5.0 min,4,0.25,0.08,3,0.20,0.07,2,0.10,0.03,1,0.05,0.02
2,5.0-10.0 min,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
3,10.0-15.0 min,99,5.75,1.92,2,20.47,6.82,14,7.34,2.45,14,7.39,2.46
4,15.0-20.0 min,31,2.38,0.79,3,5.27,1.76,0,0.00,0.00,0,0.00,0.00
5,20.0-25.0 min,0,0.00,0.00,1,0.15,0.05,0,0.00,0.00,1,0.10,0.03
6,25.0-30.0 min,2,0.21,0.07,4,0.35,0.12,0,0.00,0.00,0,0.00,0.00
7,30.0-35.0 min,0,0.00,0.00,1,0.10,0.03,0,0.00,0.00,0,0.00,0.00
8,35.0-40.0 min,0,0.00,0.00,3,0.36,0.12,0,0.00,0.00,0,0.00,0.00
9,40.0-45.0 min,2,0.20,0.07,1,0.11,0.04,0,0.00,0.00,0,0.00,0.00
10,45.0-50.0 min,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
11,50.0-55.0 min,275,18.60,6.20,3,26.76,8.92,0,0.00,0.00,0,0.00,0.00
12,55.0-60.0 min,140,23.88,7.96,6,54.72,18.24,16,16.28,5.43,13,15.06,5.02
13,60.0-61.1 min,0,0.00,0.00,1,66.38,22.13,0,0.00,0.00,0,0.00,0.00
