Behavior Observation Log
Session Date: 2025-02-10 01:51:19
Total Session Duration: 24.68 seconds
Total Number of X-Press Events: 338
Total Time X Pressed: 11.65 seconds
Percentage of Session Time X Pressed: 47.21%

Detailed Event Log:
Event#	Start(s)	End(s)	Duration(s)
1	1.73	2.23	0.50
2	2.27	2.30	0.03
3	2.33	2.36	0.03
4	2.40	2.43	0.03
5	2.46	2.50	0.03
6	2.53	2.56	0.03
7	2.60	2.63	0.03
8	2.66	2.69	0.03
9	2.73	2.76	0.03
10	2.79	2.83	0.03
11	2.86	2.89	0.03
12	2.93	2.96	0.03
13	2.99	3.02	0.03
14	3.06	3.09	0.03
15	3.12	3.16	0.03
16	3.19	3.22	0.03
17	3.26	3.29	0.03
18	3.32	3.35	0.03
19	3.39	3.42	0.03
20	3.45	3.49	0.03
21	3.52	3.55	0.03
22	3.59	3.62	0.03
23	3.65	3.68	0.03
24	3.72	3.75	0.03
25	3.78	3.82	0.03
26	3.85	3.88	0.03
27	3.91	3.95	0.03
28	3.98	4.01	0.03
29	4.05	4.08	0.03
30	4.11	4.15	0.03
31	4.18	4.21	0.03
32	4.25	4.28	0.03
33	4.31	4.34	0.03
34	4.38	4.41	0.03
35	4.44	4.48	0.03
36	4.51	4.54	0.03
37	4.58	4.61	0.03
38	4.64	4.67	0.03
39	4.71	4.74	0.03
40	4.77	4.81	0.03
41	4.84	4.87	0.03
42	4.90	4.94	0.03
43	4.97	5.00	0.03
44	5.04	5.07	0.03
45	5.10	5.14	0.03
46	5.17	5.20	0.03
47	5.23	5.27	0.03
48	5.30	5.33	0.03
49	5.37	5.40	0.03
50	5.43	5.47	0.03
51	5.50	5.53	0.03
52	5.56	5.60	0.03
53	5.63	5.66	0.03
54	5.70	5.73	0.03
55	5.76	5.80	0.03
56	5.83	5.86	0.03
57	5.90	5.93	0.03
58	5.96	5.99	0.03
59	6.03	6.06	0.03
60	6.09	6.13	0.03
61	6.16	6.19	0.03
62	6.23	6.26	0.03
63	6.29	6.32	0.03
64	6.36	6.39	0.03
65	6.42	6.46	0.03
66	6.49	6.52	0.03
67	6.56	6.59	0.03
68	6.62	6.65	0.03
69	6.69	6.72	0.03
70	6.75	6.79	0.03
71	6.82	6.85	0.03
72	6.88	6.92	0.03
73	6.95	6.98	0.03
74	7.02	7.05	0.03
75	7.08	7.12	0.03
76	7.15	7.18	0.03
77	7.22	7.25	0.03
78	7.28	7.31	0.03
79	7.35	7.38	0.03
80	7.41	7.45	0.03
81	7.48	7.51	0.03
82	7.55	7.58	0.03
83	7.61	7.64	0.03
84	7.68	7.71	0.03
85	7.74	7.78	0.03
86	7.81	7.84	0.03
87	7.87	7.91	0.03
88	7.94	7.97	0.03
89	8.01	8.04	0.03
90	8.07	8.11	0.03
91	8.14	8.17	0.03
92	8.21	8.24	0.03
93	8.27	8.30	0.03
94	8.34	8.37	0.03
95	8.40	8.44	0.03
96	8.47	8.50	0.03
97	8.53	8.57	0.03
98	8.60	8.63	0.03
99	8.67	8.70	0.03
100	8.73	8.77	0.03
101	8.80	8.83	0.03
102	8.86	8.90	0.03
103	8.93	8.96	0.03
104	9.00	9.03	0.03
105	9.06	9.10	0.03
106	9.13	9.16	0.03
107	9.20	9.23	0.03
108	9.26	9.29	0.03
109	9.33	9.36	0.03
110	9.39	9.43	0.03
111	9.46	9.49	0.03
112	9.52	9.56	0.03
113	9.59	9.62	0.03
114	9.66	9.69	0.03
115	9.72	9.76	0.03
116	9.79	9.82	0.03
117	9.86	9.89	0.03
118	9.92	9.95	0.03
119	9.99	10.02	0.03
120	10.05	10.09	0.03
121	10.12	10.15	0.03
122	10.18	10.22	0.03
123	10.25	10.28	0.03
124	10.32	10.35	0.03
125	10.38	10.42	0.03
126	10.45	10.48	0.03
127	10.52	10.55	0.03
