Behavior Observation Log
Animal: A1
Trial: T1
Session Date: 2025-02-15 00:10:33
Total Session Duration: 628.87 seconds

Key events summary:
  Key 'X' (twitch): 28 events, total held 88.03 seconds, average held 3.14 seconds (14.00%)
  Key 'M' (freeze): 7 events, total held 3.03 seconds, average held 0.43 seconds (0.48%)
  Key 'Z' (chew): 39 events, total held 142.20 seconds, average held 3.65 seconds (22.61%)
  Key 'K' (moving): 135 events, total held 10.71 seconds, average held 0.08 seconds (1.70%)

Visual Timeline:
Overall Timeline Scale (each column ≈ 6.3 sec):
00:00.....01:02.....02:05.....03:08.....04:11.....05:14.....06:17.....07:20.....08:23.....09:25.....

X (twitch): ...X.......XX.XXX.X.XX.XX.XXXXX..XX.......X..........X..................................X..........X
M (freeze): ...M.............................................MM...M.............................................
Z (chew): ..ZZZ......ZZ.ZZ.ZZZZ.Z.ZZZZZZZ.ZZZZZZZZZZ.Z.........Z.................................Z............
K (moving): ...K.............................................KKKKKK................................K............

Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
1	Z	chew	17.88	18.44	0.56
2	Z	chew	18.84	18.94	0.10
3	Z	chew	19.09	19.14	0.05
4	Z	chew	19.55	19.60	0.05
5	X	twitch	19.95	20.05	0.10
6	X	twitch	20.66	20.76	0.10
7	X	twitch	20.91	21.01	0.10
8	Z	chew	21.11	21.16	0.05
9	X	twitch	21.27	21.37	0.10
10	K	moving	21.52	21.62	0.10
11	M	freeze	21.57	21.72	0.15
12	K	moving	21.77	21.92	0.15
13	M	freeze	21.97	22.02	0.05
14	X	twitch	22.38	22.53	0.15
15	Z	chew	22.23	22.53	0.30
16	M	freeze	22.63	22.83	0.20
17	K	moving	22.63	22.83	0.20
18	X	twitch	22.98	23.18	0.20
19	X	twitch	23.64	26.07	2.43
20	M	freeze	23.69	26.07	2.38
21	Z	chew	23.64	26.07	2.43
22	K	moving	23.69	26.07	2.38
23	Z	chew	26.77	27.43	0.66
24	Z	chew	27.88	27.98	0.10
25	Z	chew	28.09	28.19	0.10
26	Z	chew	28.29	28.39	0.10
