Behavior Observation Log
Animal: aa1
Trial: dd1
Session Date: 2025-02-15 00:16:00
Total Session Duration: 12.69 seconds

Key events summary:
  Key 'X' (twitch): 14 events, total held 1.57 seconds, average held 0.11 seconds (12.35%)
  Key 'M' (freeze): 6 events, total held 0.56 seconds, average held 0.09 seconds (4.38%)
  Key 'Z' (chew): 14 events, total held 1.62 seconds, average held 0.12 seconds (12.74%)
  Key 'K' (moving): 6 events, total held 0.66 seconds, average held 0.11 seconds (5.17%)

Visual Timeline:
Overall Timeline Scale (each column ≈ 0.1 sec):
00:00.....00:01.....00:02.....00:03.....00:05.....00:06.....00:07.....00:08.....00:10.....00:11.....

X (twitch): ..........................X.XXX.X..........X...X..X.XX.X..X................X..X...X.XX..............
M (freeze): ...............................................M..M.M.M.M.M.........................................
Z (chew): ....................Z..Z.Z.....Z..........Z...Z.ZZ..Z.Z..Z...............Z....Z.ZZ.ZZ...............
K (moving): ..............................................K..K.K.K.K.K..........................................

Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
1	Z	chew	2.58	2.68	0.10
2	Z	chew	2.98	3.08	0.10
3	Z	chew	3.23	3.28	0.05
4	X	twitch	3.33	3.49	0.15
5	X	twitch	3.59	3.64	0.05
6	X	twitch	3.79	3.94	0.15
7	Z	chew	3.94	4.09	0.15
8	X	twitch	4.09	4.14	0.05
9	Z	chew	5.41	5.56	0.15
10	X	twitch	5.51	5.66	0.15
11	Z	chew	5.91	6.01	0.10
12	K	moving	5.91	6.06	0.15
13	X	twitch	6.01	6.11	0.10
14	M	freeze	6.01	6.11	0.10
15	Z	chew	6.22	6.37	0.15
16	K	moving	6.27	6.37	0.10
17	X	twitch	6.37	6.47	0.10
18	M	freeze	6.37	6.47	0.10
19	K	moving	6.57	6.67	0.10
20	M	freeze	6.62	6.72	0.10
21	Z	chew	6.62	6.72	0.10
22	X	twitch	6.72	6.87	0.15
23	K	moving	6.82	6.92	0.10
24	M	freeze	6.87	6.97	0.10
25	Z	chew	6.97	7.07	0.10
26	X	twitch	7.07	7.18	0.10
27	K	moving	7.07	7.18	0.10
28	M	freeze	7.12	7.23	0.10
29	Z	chew	7.28	7.43	0.15
30	K	moving	7.33	7.43	0.10
31	M	freeze	7.43	7.48	0.05
32	X	twitch	7.43	7.53	0.10
33	Z	chew	9.35	9.40	0.05
34	X	twitch	9.55	9.60	0.05
35	Z	chew	9.91	9.96	0.05
36	X	twitch	10.01	10.11	0.10
37	Z	chew	10.26	10.41	0.15
38	X	twitch	10.41	10.56	0.15
39	Z	chew	10.61	10.81	0.20
40	X	twitch	10.76	10.92	0.15
