Behavior Observation Log
Animal: AA11
Trial: BB22
Session Date: 2025-02-15 00:39:38
Total Session Duration: 1093.51 seconds

Key events summary:
  Key 'X' (twitch): 45 events, total held 28.85 seconds, average held 0.64 seconds (2.64%)
  Key 'M' (freeze): 8 events, total held 4.85 seconds, average held 0.61 seconds (0.44%)
  Key 'Z' (chew): 48 events, total held 29.82 seconds, average held 0.62 seconds (2.73%)
  Key 'K' (moving): 26 events, total held 21.53 seconds, average held 0.83 seconds (1.97%)

Visual Timeline:

Detailed Visual Timeline (each line represents 15 minutes):
Legend: '.' = no activity, letter = key pressed


X (twitch):
.XX....X.......................X.........................................................XXX........ [00:00 - 15:00]
X..................XX............................................................................... [15:00 - 18:13]


M (freeze):
....................................................M....MM......................................... [00:00 - 15:00]
M................................................................................................... [15:00 - 18:13]


Z (chew):
ZZZ....Z..................Z....Z..........Z......ZZZ............................ZZ.................. [00:00 - 15:00]
Z..................Z................................................................................ [15:00 - 18:13]


K (moving):
....................................................K....KK......................................... [00:00 - 15:00]
KK.................................................................................................. [15:00 - 18:13]


Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
1	Z	chew	8.44	12.23	3.79
2	X	twitch	13.14	13.29	0.15
3	X	twitch	13.55	13.65	0.10
4	X	twitch	13.85	13.95	0.10
5	X	twitch	14.10	15.27	1.16
6	Z	chew	16.33	16.48	0.15
7	X	twitch	16.63	16.78	0.15
8	X	twitch	17.49	17.74	0.25
9	Z	chew	17.34	17.79	0.45
10	X	twitch	18.30	18.40	0.10
11	Z	chew	18.30	18.45	0.15
12	X	twitch	18.60	18.75	0.15
13	Z	chew	18.60	18.75	0.15
14	X	twitch	18.90	19.71	0.81
15	Z	chew	18.90	19.71	0.81
16	X	twitch	65.09	65.30	0.20
17	Z	chew	64.89	65.30	0.40
18	Z	chew	237.78	238.24	0.45
19	Z	chew	238.34	238.39	0.05
20	Z	chew	238.54	241.58	3.03
21	Z	chew	241.78	241.83	0.05
22	Z	chew	241.93	242.03	0.10
23	Z	chew	242.13	242.23	0.10
24	Z	chew	242.28	242.38	0.10
25	Z	chew	242.43	242.53	0.10
26	Z	chew	242.64	242.74	0.10
27	Z	chew	242.79	242.89	0.10
28	X	twitch	281.24	282.55	1.31
29	Z	chew	281.29	282.55	1.26
30	X	twitch	283.11	283.56	0.45
31	Z	chew	283.11	283.56	0.45
32	Z	chew	382.79	385.72	2.93
33	Z	chew	445.40	445.55	0.15
34	Z	chew	445.90	446.00	0.10
35	Z	chew	446.31	450.75	4.45
36	Z	chew	452.27	452.42	0.15
37	Z	chew	452.93	453.13	0.20
38	Z	chew	464.14	464.95	0.81
39	M	freeze	468.29	468.39	0.10
40	K	moving	469.90	470.05	0.15
41	K	moving	470.71	470.81	0.10
42	K	moving	470.96	471.11	0.15
43	K	moving	471.22	471.32	0.10
44	K	moving	471.47	471.57	0.10
45	M	freeze	517.22	517.32	0.10
46	K	moving	517.53	517.63	0.10
47	M	freeze	517.88	518.03	0.15
48	K	moving	517.98	518.13	0.15
49	M	freeze	518.54	518.99	0.45
50	K	moving	518.54	518.99	0.45
51	M	freeze	520.51	523.74	3.23
52	K	moving	523.79	524.85	1.06
53	M	freeze	524.90	525.56	0.66
54	Z	chew	722.67	722.82	0.15
55	Z	chew	723.02	723.12	0.10
56	Z	chew	723.27	723.37	0.10
57	Z	chew	723.47	726.76	3.28
58	Z	chew	728.58	729.13	0.56
59	Z	chew	729.44	729.64	0.20
60	Z	chew	729.89	729.99	0.10
61	Z	chew	730.19	730.29	0.10
62	Z	chew	730.50	730.60	0.10
63	Z	chew	730.75	730.85	0.10
64	Z	chew	731.00	731.05	0.05
65	Z	chew	731.56	731.61	0.05
66	Z	chew	731.76	731.86	0.10
67	Z	chew	731.96	732.11	0.15
68	Z	chew	732.27	732.37	0.10
69	Z	chew	733.53	736.76	3.23
70	X	twitch	805.64	805.69	0.05
71	X	twitch	805.89	805.94	0.05
72	X	twitch	806.09	807.71	1.62
73	X	twitch	808.11	808.57	0.45
74	X	twitch	808.92	810.24	1.31
75	X	twitch	810.49	810.64	0.15
76	X	twitch	810.79	810.94	0.15
77	X	twitch	810.99	812.31	1.31
78	X	twitch	812.51	813.52	1.01
79	X	twitch	813.92	814.99	1.06
80	X	twitch	815.29	816.75	1.46
81	X	twitch	817.01	819.13	2.12
82	X	twitch	819.43	820.79	1.36
83	X	twitch	821.10	822.41	1.31
84	X	twitch	822.66	823.42	0.76
85	Z	chew	900.20	900.30	0.10
86	Z	chew	900.55	900.60	0.05
87	Z	chew	900.90	901.00	0.10
88	X	twitch	901.26	901.36	0.10
89	X	twitch	901.56	901.61	0.05
90	X	twitch	901.86	901.96	0.10
91	X	twitch	902.17	902.22	0.05
92	X	twitch	902.47	902.52	0.05
93	M	freeze	902.72	902.82	0.10
94	K	moving	902.87	902.97	0.10
95	M	freeze	903.02	903.07	0.05
96	K	moving	903.02	903.07	0.05
97	K	moving	903.23	903.28	0.05
98	K	moving	903.33	903.43	0.10
99	K	moving	903.53	903.58	0.05
100	K	moving	903.68	903.73	0.05
101	K	moving	903.83	903.88	0.05
102	K	moving	903.98	904.03	0.05
103	K	moving	904.13	904.18	0.05
104	K	moving	904.29	904.34	0.05
105	K	moving	904.44	904.49	0.05
106	K	moving	904.59	904.64	0.05
107	K	moving	904.74	904.79	0.05
108	K	moving	904.89	904.94	0.05
109	K	moving	905.04	905.14	0.10
110	K	moving	905.25	905.30	0.05
111	K	moving	905.60	923.80	18.20
112	Z	chew	1078.51	1078.76	0.25
113	X	twitch	1078.56	1078.81	0.25
114	X	twitch	1078.96	1079.06	0.10
115	Z	chew	1078.96	1079.06	0.10
116	X	twitch	1079.16	1079.26	0.10
117	Z	chew	1079.16	1079.26	0.10
118	X	twitch	1079.42	1079.52	0.10
119	X	twitch	1079.67	1079.77	0.10
120	X	twitch	1079.87	1080.02	0.15
121	X	twitch	1080.07	1087.55	7.48
122	X	twitch	1087.65	1087.70	0.05
123	X	twitch	1087.80	1088.16	0.35
124	X	twitch	1088.26	1088.41	0.15
125	X	twitch	1088.46	1088.56	0.10
126	X	twitch	1088.71	1088.81	0.10
127	X	twitch	1088.91	1089.22	0.30
