Behavior Observation Log
Animal: test_1_2_3_4
Trial: 1234431
Session Date: 2025-02-15 11:55:38
Total Session Duration: 2851.79 seconds

Key events summary:
  Key 'X' (twitch): 5 events, total held 0.99 seconds, average held 0.20 seconds (0.03%)
  Key 'M' (freeze): 24 events, total held 58.14 seconds, average held 2.42 seconds (2.04%)
  Key 'Z' (chew): 5 events, total held 0.91 seconds, average held 0.18 seconds (0.03%)
  Key 'K' (moving): 310 events, total held 40.80 seconds, average held 0.13 seconds (1.43%)

Visual Timeline:

Detailed Visual Timeline (each line represents 15 minutes):
Legend: '.' = no activity, letter = key pressed


X (twitch):
X................................................................................................... [00:00 - 15:00]
........X........................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
................X................................................................................... [45:00 - 47:31]


M (freeze):
M................................................................................................... [00:00 - 15:00]
........M................................M.......................................................... [15:00 - 30:00]
M.....M...................M.........M....................M....M..........................M.......... [30:00 - 45:00]
................M................................................................................... [45:00 - 47:31]


Z (chew):
Z.................................................................................................Z. [00:00 - 15:00]
........Z........................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
................Z................................................................................... [45:00 - 47:31]


K (moving):
K................................................................................................... [00:00 - 15:00]
........K.................KK.............K.....K........K.........K..........K......K...........KK.. [15:00 - 30:00]
.K....K...........K.......K........KK.........KK.........K...............K........K.....KK..K.K...K. [30:00 - 45:00]
................K................................................................................... [45:00 - 47:31]


Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
1	Z	chew	2.70	2.80	0.10
2	X	twitch	4.12	4.22	0.10
3	X	twitch	4.47	4.52	0.05
4	M	freeze	5.69	5.79	0.10
5	M	freeze	6.00	6.10	0.10
6	M	freeze	6.31	6.41	0.11
7	K	moving	7.46	7.56	0.10
8	K	moving	7.81	7.86	0.05
9	K	moving	8.11	8.22	0.10
10	K	moving	8.45	8.51	0.05
11	Z	chew	890.11	890.26	0.15
12	Z	chew	890.62	890.72	0.10
13	Z	chew	974.49	974.92	0.43
14	X	twitch	975.13	975.81	0.67
15	M	freeze	976.24	976.61	0.37
16	K	moving	976.75	976.91	0.16
17	K	moving	1141.01	1141.06	0.05
18	K	moving	1141.17	1141.22	0.05
19	K	moving	1141.27	1141.33	0.06
20	K	moving	1141.38	1141.49	0.11
21	K	moving	1141.55	1141.60	0.05
22	K	moving	1141.70	1141.76	0.05
23	K	moving	1141.81	1141.91	0.10
24	K	moving	1141.96	1142.03	0.06
25	K	moving	1142.13	1142.19	0.05
26	K	moving	1142.24	1142.30	0.06
27	K	moving	1142.41	1142.46	0.05
28	K	moving	1142.57	1142.62	0.05
29	K	moving	1142.72	1142.78	0.05
30	K	moving	1142.83	1142.93	0.11
31	K	moving	1142.99	1143.09	0.10
32	K	moving	1143.14	1143.19	0.05
33	K	moving	1143.30	1143.35	0.05
34	K	moving	1143.45	1143.51	0.06
35	K	moving	1143.62	1143.67	0.05
36	K	moving	1143.72	1143.77	0.06
37	K	moving	1143.90	1143.96	0.06
