Behavior Observation Log
Animal: D2T5D2T6
Trial: 0-1
Session Date: 2025-04-26 00:15:28
Total Session Duration (excluding pauses): 3754.92 seconds
Total Pause Time: 0.00 seconds

Key events summary:
  Key 'W' (twitch): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'A' (active): 104 events, total held 688.32 seconds, average held 6.62 seconds (18.33%)
  Key 'S' (freeze): 1 events, total held 0.23 seconds, average held 0.23 seconds (0.01%)
  Key 'D' (chew): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'J' (active2): 83 events, total held 998.82 seconds, average held 12.03 seconds (26.60%)
  Key 'K' (freeze2): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'L' (chew2): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'I' (twitch2): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)

Visual Timeline:

Detailed Visual Timeline (each line represents 15 minutes):
Legend: '.' = no activity, letter = key pressed


W (twitch):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 62:34]


A (active):
..A.AA..AA.AAAA.AAAAA..A.AAAA.....AAA.AA...AAA......................AA....A.......A..A....AA.A.A.... [00:00 - 15:00]
......A.A.A....AAA.AA.A...A..A....A......A...AA....AAA.AAAA..................A...................... [15:00 - 30:00]
AA.............A..AA....AAA.AA.....A.AAAA.AA.....AAA...AAAAA...AAA.A.A.AAA................A.A..A.... [30:00 - 45:00]
AA.A.AA.AA...............AAA....................................A.................A................. [45:00 - 60:00]
.......AA.AAAA.A.................................................................................... [60:00 - 62:34]


S (freeze):
.................................................................S.................................. [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 62:34]


D (chew):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 62:34]


J (active2):
.JJ.JJJJJJJJJJJJJJJJJJJ.JJJ..J....JJ.JJ.J..JJJJJJ..JJJ..J.JJJ.JJ....J.....J......................... [00:00 - 15:00]
..................J....J......J......JJJJJJJJJJJJ............................JJJ............J.J...J. [15:00 - 30:00]
JJJJ...J..........JJJJJ..J..JJJJ.JJ.....JJ.JJJ.JJ.....JJ.JJJ..J........J............................ [30:00 - 45:00]
.....................J...........J.....JJJJJ.J.J..JJJ..JJJJJJJJJ..J..JJJ..JJ....JJ...........J...... [45:00 - 60:00]
........JJ.....J.................................................................................... [60:00 - 62:34]


K (freeze2):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 62:34]


L (chew2):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 62:34]


I (twitch2):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 62:34]


Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
1	A	active	18.64	18.98	0.33
2	J	active2	14.26	34.54	20.28
3	J	active2	40.43	41.79	1.36
4	A	active	42.91	46.19	3.28
5	A	active	53.79	56.27	2.48
6	J	active2	51.21	57.40	6.19
7	J	active2	62.77	67.57	4.80
8	J	active2	71.98	75.04	3.06
9	J	active2	75.16	76.62	1.47
10	J	active2	82.16	83.96	1.80
11	A	active	79.45	87.22	7.77
12	A	active	88.44	96.77	8.33
13	J	active2	85.77	96.77	11.00
14	A	active	103.15	107.55	4.40
15	J	active2	98.66	111.17	12.51
16	A	active	116.69	126.91	10.22
17	A	active	132.55	135.03	2.48
18	A	active	147.89	151.97	4.08
19	J	active2	114.56	156.37	41.81
20	A	active	155.69	160.12	4.42
21	J	active2	161.13	168.80	7.66
22	A	active	167.65	192.55	24.90
23	J	active2	170.95	192.55	21.60
24	J	active2	194.91	204.34	9.43
25	J	active2	206.89	214.30	7.41
26	A	active	215.07	217.87	2.80
27	J	active2	224.76	231.39	6.64
28	J	active2	232.53	235.08	2.56
29	A	active	232.87	243.01	10.14
30	J	active2	242.67	246.17	3.49
31	A	active	245.03	246.39	1.36
32	A	active	258.03	262.49	4.46
33	J	active2	266.10	267.22	1.13
34	J	active2	314.81	318.46	3.65
35	J	active2	320.82	329.16	8.34
36	J	active2	335.83	337.86	2.04
37	A	active	311.33	341.68	30.35
38	A	active	347.22	348.67	1.45
39	J	active2	339.76	355.24	15.48
40	A	active	358.76	359.21	0.45
41	J	active2	365.99	377.66	11.67
42	A	active	393.79	400.39	6.60
43	A	active	403.11	417.10	13.99
44	J	active2	387.10	438.53	51.43
45	J	active2	440.46	449.22	8.76
46	J	active2	464.23	488.36	24.13
47	J	active2	507.30	516.57	9.27
48	J	active2	526.29	553.34	27.05
49	J	active2	559.87	580.56	20.69
50	S	freeze	590.85	591.07	0.23
51	A	active	618.68	621.18	2.50
52	J	active2	617.66	622.20	4.54
53	A	active	624.88	626.67	1.80
54	J	active2	666.85	672.14	5.29
55	A	active	674.05	678.23	4.18
56	A	active	741.41	745.70	4.28
57	A	active	766.87	782.94	16.07
58	A	active	816.79	829.02	12.23
59	A	active	837.97	851.98	14.01
60	A	active	856.37	861.94	5.57
61	A	active	954.63	967.05	12.42
62	A	active	978.42	978.87	0.44
63	A	active	980.58	981.37	0.80
64	A	active	994.11	994.78	0.67
65	A	active	1038.38	1065.56	27.18
66	J	active2	1067.50	1067.85	0.35
67	A	active	1073.93	1082.36	8.43
68	A	active	1087.14	1088.50	1.37
69	A	active	1099.97	1102.46	2.49
70	A	active	1104.05	1105.53	1.48
71	J	active2	1108.35	1111.50	3.15
72	A	active	1141.68	1148.27	6.60
73	A	active	1163.14	1169.85	6.71
74	J	active2	1171.32	1174.28	2.96
75	J	active2	1174.39	1175.53	1.14
76	A	active	1212.96	1219.47	6.50
77	J	active2	1238.95	1272.46	33.51
78	A	active	1274.16	1282.45	8.29
79	J	active2	1276.62	1297.69	21.08
80	A	active	1308.48	1311.06	2.58
81	A	active	1314.89	1321.21	6.32
82	J	active2	1298.73	1343.91	45.18
83	A	active	1363.32	1370.10	6.77
84	A	active	1374.53	1384.05	9.53
85	A	active	1385.87	1388.03	2.15
86	A	active	1395.85	1399.71	3.86
87	A	active	1402.44	1404.17	1.73
88	A	active	1405.28	1409.45	4.18
89	A	active	1414.23	1417.85	3.62
90	A	active	1429.51	1430.97	1.45
91	A	active	1593.72	1600.20	6.48
92	J	active2	1600.20	1607.33	7.14
