Behavior Observation Log
Animal:  D2T5_D2T6
Trial: 1-x
Session Date: 2025-04-26 23:09:17
Total Session Duration (excluding pauses): 3614.40 seconds
Total Pause Time: 0.00 seconds

Key events summary:
  Key 'W' (twitch): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'A' (active): 135 events, total held 717.81 seconds, average held 5.32 seconds (19.86%)
  Key 'S' (freeze): 3 events, total held 3.40 seconds, average held 1.13 seconds (0.09%)
  Key 'D' (chew): 3 events, total held 1.55 seconds, average held 0.52 seconds (0.04%)
  Key 'J' (active2): 122 events, total held 679.47 seconds, average held 5.57 seconds (18.80%)
  Key 'K' (freeze2): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'L' (chew2): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'I' (twitch2): 1 events, total held 0.11 seconds, average held 0.11 seconds (0.00%)

Visual Timeline:

Detailed Visual Timeline (each line represents 15 minutes):
Legend: '.' = no activity, letter = key pressed


W (twitch):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 60:14]


A (active):
......AAA.AAA..A..AAAA..A..........AAAAA.AAA..AA....AA.A.A.........A..AA....A..AA.A.A.AAA.......A..A [00:00 - 15:00]
.A.A.A....AAAAA..AA.......A....A.A.AAA.A.AA.A..............AAA...A........AAAAAAA.AA......AAAAAA.AA. [15:00 - 30:00]
A..A.AA......................A.............AA.......AAAA...AAA.A.AA...AAAA.......................... [30:00 - 45:00]
.......A........AA...........AAAA..AAAA.A...AA...A....A.A..........A.AAAAA.AA...AAA..AA..........A.A [45:00 - 60:00]
.................................................................................................... [60:00 - 60:14]


S (freeze):
.................................................................................................... [00:00 - 15:00]
........S.....................................S..S.................................................. [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 60:14]


D (chew):
.............D...D.................................................................................. [00:00 - 15:00]
.........................................................................D.......................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 60:14]


J (active2):
...J....J.J....JJJJJJJ.J...J...J..JJJJJJJJJJJJJJ.J....JJJJ.....JJ.JJ...J.....J.J.JJJ.JJJ..JJ....J.J. [00:00 - 15:00]
.JJ..J..........................JJ.JJ.JJJJJ.J..........JJJJJJJ...J......J.JJ.J..J................... [15:00 - 30:00]
....................................................JJJ.JJ...J..JJ..JJ........JJJ.......JJ..JJ.....J [30:00 - 45:00]
............................JJJJ....J.JJ...JJJ........J.JJJJJ............JJJ....JJJJ.J............J. [45:00 - 60:00]
.................................................................................................... [60:00 - 60:14]


K (freeze2):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 60:14]


L (chew2):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 60:14]


I (twitch2):
.................................................................................................... [00:00 - 15:00]
.........I.......................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 60:14]


Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
1	J	active2	33.53	33.87	0.33
2	A	active	61.47	89.15	27.68
3	J	active2	77.09	89.15	12.06
4	J	active2	91.29	91.52	0.23
5	A	active	92.30	100.25	7.96
6	A	active	103.15	108.42	5.27
7	A	active	109.09	111.00	1.92
8	D	chew	125.49	125.94	0.45
9	J	active2	141.14	143.38	2.24
10	A	active	141.59	143.49	1.90
11	J	active2	143.72	146.75	3.02
12	J	active2	147.66	156.28	8.62
13	J	active2	156.96	158.32	1.36
14	D	chew	159.81	160.14	0.33
15	A	active	162.25	165.94	3.69
16	J	active2	164.60	169.10	4.49
17	A	active	166.73	169.20	2.47
18	A	active	170.66	177.92	7.25
19	A	active	179.71	192.50	12.78
20	J	active2	170.66	192.82	22.16
21	A	active	193.95	195.86	1.91
22	J	active2	196.31	198.42	2.10
23	J	active2	209.05	211.62	2.57
24	J	active2	213.06	217.77	4.71
25	A	active	216.44	224.83	8.38
26	J	active2	249.90	252.16	2.26
27	J	active2	280.65	293.64	12.99
28	A	active	319.97	322.32	2.34
29	J	active2	308.69	325.46	16.76
30	A	active	327.71	347.39	19.68
31	J	active2	328.81	352.20	23.38
32	A	active	349.83	352.87	3.04
33	J	active2	353.21	354.78	1.57
34	A	active	355.67	357.82	2.14
35	A	active	359.63	364.69	5.07
36	J	active2	366.15	369.24	3.10
37	A	active	373.04	376.36	3.32
38	J	active2	377.15	380.70	3.55
39	A	active	381.15	383.60	2.45
40	J	active2	382.48	389.16	6.68
41	A	active	387.72	392.47	4.75
42	J	active2	390.15	396.49	6.34
43	J	active2	397.14	404.70	7.56
44	J	active2	410.91	415.16	4.24
45	A	active	414.16	416.05	1.90
46	J	active2	419.53	424.84	5.30
47	A	active	425.63	427.90	2.26
48	J	active2	429.26	430.26	1.00
49	J	active2	442.59	445.05	2.46
50	A	active	472.86	474.66	1.80
51	A	active	477.81	478.71	0.90
52	A	active	482.42	484.22	1.80
53	J	active2	488.60	490.05	1.45
54	J	active2	491.28	492.74	1.46
55	J	active2	498.47	505.20	6.73
56	A	active	495.12	506.31	11.20
57	J	active2	506.99	510.59	3.60
58	J	active2	512.04	516.87	4.83
59	J	active2	517.44	518.91	1.47
60	A	active	518.80	519.47	0.67
61	J	active2	519.35	522.83	3.48
62	J	active2	573.62	592.95	19.33
63	J	active2	594.52	606.31	11.79
64	A	active	607.55	609.59	2.04
65	J	active2	611.27	618.23	6.97
66	A	active	632.99	637.71	4.72
67	J	active2	639.06	640.86	1.80
68	A	active	644.58	651.14	6.55
69	A	active	685.63	697.20	11.57
70	J	active2	698.09	709.99	11.89
71	A	active	711.42	715.72	4.30
72	A	active	716.49	719.46	2.97
73	J	active2	716.28	719.91	3.63
74	A	active	723.47	732.77	9.30
75	J	active2	733.66	739.10	5.43
76	A	active	739.21	741.08	1.87
77	A	active	743.42	746.11	2.68
78	J	active2	744.21	749.11	4.90
79	J	active2	749.78	753.44	3.66
80	J	active2	753.99	758.88	4.89
81	A	active	756.44	772.47	16.03
82	A	active	774.56	793.04	18.48
83	J	active2	771.79	793.04	21.24
84	A	active	795.36	800.13	4.77
85	J	active2	818.81	823.00	4.19
86	J	active2	826.11	833.42	7.32
87	J	active2	866.75	870.63	3.89
88	A	active	871.52	875.42	3.90
89	J	active2	886.80	888.25	1.45
90	A	active	891.81	894.36	2.55
91	A	active	895.15	895.60	0.45
92	A	active	913.07	914.30	1.22
93	J	active2	911.42	921.64	10.22
94	J	active2	923.32	926.55	3.22
95	A	active	933.02	938.14	5.12
96	J	active2	946.61	947.51	0.90
97	A	active	948.18	950.41	2.23
98	A	active	952.87	957.87	5.00
99	S	freeze	980.62	980.73	0.11
100	I	twitch2	981.06	981.16	0.11
101	A	active	995.38	996.48	1.10
102	A	active	1003.13	1004.78	1.65
103	A	active	1010.44	1012.90	2.46
104	A	active	1025.29	1042.85	17.55
105	A	active	1059.76	1062.45	2.69
106	A	active	1069.28	1071.31	2.03
107	A	active	1136.60	1144.14	7.54
108	A	active	1186.48	1189.33	2.85
109	J	active2	1193.67	1197.15	3.48
110	J	active2	1198.13	1201.53	3.40
111	A	active	1203.95	1205.38	1.43
112	J	active2	1204.50	1210.13	5.63
113	A	active	1216.43	1221.54	5.11
114	J	active2	1216.75	1221.54	4.78
115	A	active	1224.49	1226.69	2.20
116	J	active2	1223.38	1227.84	4.46
117	A	active	1227.84	1229.38	1.54
118	J	active2	1228.94	1229.82	0.88
119	J	active2	1231.69	1232.80	1.11
120	A	active	1229.93	1233.13	3.21
121	A	active	1234.89	1240.97	6.08
122	J	active2	1249.66	1254.91	5.25
123	A	active	1253.38	1256.11	2.73
124	J	active2	1255.57	1270.21	14.65
125	J	active2	1271.64	1274.48	2.84
126	A	active	1273.38	1275.58	2.20
127	J	active2	1275.91	1278.68	2.76
128	A	active	1279.88	1280.54	0.66
129	J	active2	1282.29	1284.27	1.98
130	J	active2	1301.78	1302.98	1.20
131	A	active	1304.49	1305.36	0.87
132	S	freeze	1321.35	1323.13	1.78
133	S	freeze	1342.32	1343.83	1.51
134	J	active2	1400.69	1404.93	4.24
135	J	active2	1412.88	1424.15	11.27
136	A	active	1435.15	1436.36	1.21
137	A	active	1437.02	1439.44	2.42
138	A	active	1447.70	1459.92	12.22
139	J	active2	1424.69	1460.03	35.34
140	J	active2	1490.19	1491.06	0.86
141	A	active	1489.76	1493.54	3.78
142	J	active2	1550.84	1557.28	6.44
143	D	chew	1562.70	1563.47	0.76
144	J	active2	1566.18	1569.43	3.25
145	A	active	1570.08	1586.64	16.56
146	A	active	1587.62	1588.39	0.77
147	J	active2	1580.86	1588.94	8.07
148	J	active2	1598.76	1600.82	2.06
149	A	active	1601.36	1603.43	2.06
150	A	active	1609.53	1626.59	17.06
151	A	active	1628.34	1630.41	2.07
152	J	active2	1626.26	1630.52	4.26
153	A	active	1643.30	1649.50	6.19
154	A	active	1655.24	1663.94	8.70
155	A	active	1716.70	1737.54	20.84
156	A	active	1738.21	1746.24	8.03
157	A	active	1750.13	1752.85	2.71
158	A	active	1759.01	1763.56	4.55
159	A	active	1781.64	1791.36	9.72
160	A	active	1801.25	1806.56	5.31
161	A	active	1830.59	1842.22	11.63
162	A	active	1847.42	1869.89	22.47
163	A	active	2064.71	2066.05	1.34
164	A	active	2067.48	2074.50	7.02
165	A	active	2189.71	2199.05	9.34
166	A	active	2200.41	2203.79	3.38
167	A	active	2270.09	2271.89	1.80
168	J	active2	2268.87	2275.06	6.19
169	A	active	2274.16	2277.75	3.60
170	A	active	2278.87	2281.02	2.15
