Behavior Observation Log
Animal:  D2T7_D7T7
Trial: 4-6
Session Date: 2025-04-28 00:07:14
Total Session Duration (excluding pauses): 4407.13 seconds
Total Pause Time: 0.00 seconds

Key events summary:
  Key 'W' (twitch): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'A' (active): 69 events, total held 176.32 seconds, average held 2.56 seconds (4.00%)
  Key 'S' (freeze): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'D' (chew): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'J' (active2): 28 events, total held 32.56 seconds, average held 1.16 seconds (0.74%)
  Key 'K' (freeze2): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'L' (chew2): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)
  Key 'I' (twitch2): 0 events, total held 0.00 seconds, average held 0.00 seconds (0.00%)

Visual Timeline:

Detailed Visual Timeline (each line represents 15 minutes):
Legend: '.' = no activity, letter = key pressed


W (twitch):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 73:27]


A (active):
A....AA....AAAAAAAAAAAA.AA.A.AA..AAAA.....AA.AAA..A.AA.AA.A.AAA.AAAA.A..AAAAAA...................... [00:00 - 15:00]
.....AA......A..........................................................A........................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.............................A...................................................................... [60:00 - 73:27]


S (freeze):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 73:27]


D (chew):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 73:27]


J (active2):
.....J.......J.........................................JJJ..........J............JJJJJJJJ.J..JJJ.... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.....J.........J...............................................................J.................... [30:00 - 45:00]
.................................................................J.................................. [45:00 - 60:00]
.................................................................................................... [60:00 - 73:27]


K (freeze2):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 73:27]


L (chew2):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 73:27]


I (twitch2):
.................................................................................................... [00:00 - 15:00]
.................................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
.................................................................................................... [45:00 - 60:00]
.................................................................................................... [60:00 - 73:27]


Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
1	A	active	7.38	7.72	0.35
2	A	active	50.43	50.99	0.56
3	J	active2	52.00	52.12	0.11
4	A	active	60.24	60.58	0.34
5	A	active	99.67	100.12	0.45
6	A	active	106.06	106.84	0.79
7	A	active	109.98	110.76	0.78
8	A	active	114.59	116.16	1.57
9	J	active2	122.78	123.11	0.33
10	A	active	123.69	125.84	2.15
11	A	active	133.69	137.16	3.47
12	A	active	142.90	143.92	1.02
13	A	active	148.98	149.86	0.88
14	A	active	152.44	152.78	0.34
15	A	active	156.93	157.61	0.68
16	A	active	162.77	163.66	0.89
17	A	active	169.71	170.83	1.12
18	A	active	178.23	179.59	1.36
19	A	active	181.72	183.09	1.37
20	A	active	194.47	194.81	0.34
21	A	active	198.63	199.30	0.67
22	A	active	219.89	220.46	0.57
23	A	active	225.50	225.83	0.33
24	A	active	229.88	230.10	0.22
25	A	active	247.18	253.48	6.30
26	A	active	265.39	266.18	0.79
27	A	active	273.05	273.72	0.66
28	A	active	302.98	304.98	2.00
29	A	active	305.43	307.01	1.58
30	A	active	313.77	334.64	20.87
31	A	active	385.03	389.16	4.13
32	A	active	392.83	395.67	2.84
33	A	active	408.98	409.75	0.77
34	A	active	416.21	417.43	1.22
35	A	active	418.99	421.91	2.92
36	A	active	427.22	434.86	7.65
37	A	active	451.04	455.19	4.16
38	A	active	469.17	471.19	2.03
39	A	active	472.54	473.20	0.66
40	A	active	478.49	479.18	0.69
41	A	active	496.03	501.76	5.73
42	J	active2	503.22	503.78	0.55
43	A	active	505.46	505.92	0.46
44	J	active2	507.17	508.63	1.46
45	A	active	509.08	515.06	5.98
46	J	active2	513.27	520.23	6.96
47	J	active2	520.91	523.17	2.26
48	A	active	523.64	526.21	2.57
49	A	active	530.15	530.73	0.57
50	A	active	548.16	548.72	0.57
51	A	active	549.86	556.07	6.22
52	A	active	558.53	563.70	5.18
53	A	active	577.52	578.64	1.12
54	A	active	580.55	581.79	1.24
55	A	active	583.02	583.80	0.78
56	A	active	587.73	588.07	0.34
57	A	active	594.11	597.34	3.23
58	A	active	600.03	609.28	9.25
59	A	active	611.44	611.78	0.34
60	J	active2	614.01	617.05	3.03
61	A	active	623.29	634.18	10.89
62	A	active	652.83	654.63	1.80
63	A	active	659.82	663.40	3.59
64	A	active	669.25	673.98	4.74
65	A	active	677.99	682.38	4.40
66	A	active	683.18	684.40	1.23
67	A	active	687.67	688.88	1.22
68	A	active	690.34	691.01	0.67
69	A	active	693.02	702.47	9.46
70	J	active2	735.61	736.18	0.57
71	J	active2	737.54	738.10	0.56
72	J	active2	741.79	742.68	0.89
73	J	active2	748.40	749.41	1.01
74	J	active2	753.53	754.31	0.78
75	J	active2	758.47	759.49	1.02
76	J	active2	767.13	767.69	0.56
77	J	active2	771.74	773.76	2.03
78	J	active2	781.75	782.33	0.58
79	J	active2	787.27	787.94	0.67
80	J	active2	793.31	794.20	0.89
81	J	active2	811.72	812.51	0.79
82	J	active2	843.99	844.66	0.67
