Behavior Observation Log
Animal: testttt
Trial: sadasdasdasd
Session Date: 2025-03-03 00:55:07
Total Session Duration (excluding pauses): 22.96 seconds
Total Pause Time: 0.00 seconds

Key events summary:
  Key 'W' (twitch): 4 events, total held 0.91 seconds, average held 0.23 seconds (3.98%)
  Key 'A' (freeze): 7 events, total held 1.27 seconds, average held 0.18 seconds (5.54%)
  Key 'S' (chew): 5 events, total held 0.91 seconds, average held 0.18 seconds (3.97%)
  Key 'D' (moving): 5 events, total held 0.66 seconds, average held 0.13 seconds (2.88%)

Visual Timeline:

Detailed Visual Timeline (each line represents 15 minutes):
Legend: '.' = no activity, letter = key pressed


W (twitch):
W................................................................................................... [00:00 - 00:22]


A (freeze):
A................................................................................................... [00:00 - 00:22]


S (chew):
S................................................................................................... [00:00 - 00:22]


D (moving):
D................................................................................................... [00:00 - 00:22]


Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
1	A	freeze	2.33	2.49	0.15
2	S	chew	2.84	2.94	0.10
3	D	moving	3.75	3.86	0.10
4	W	twitch	4.52	4.72	0.20
5	W	twitch	5.99	6.40	0.41
6	A	freeze	6.55	6.80	0.25
7	S	chew	6.75	7.06	0.30
8	D	moving	7.01	7.16	0.15
9	A	freeze	7.06	7.26	0.20
10	S	chew	7.21	7.36	0.15
11	D	moving	7.36	7.51	0.15
12	A	freeze	7.46	7.66	0.20
13	W	twitch	7.61	7.77	0.15
14	A	freeze	7.82	7.97	0.15
15	S	chew	7.97	8.17	0.20
16	D	moving	8.12	8.28	0.15
17	A	freeze	8.23	8.38	0.15
18	W	twitch	8.33	8.48	0.15
19	A	freeze	8.58	8.74	0.15
20	S	chew	8.74	8.89	0.15
21	D	moving	8.84	8.94	0.10
