Date,Start time,End time,Total hours
2023-07-04,08:09:42,09:37:00,1.46
2023-07-04,10:45:00,16:15:00,5.50
2023-07-04,21:53:55,23:50:29,1.94
2023-07-05,08:46:00,12:47:41,4.03
2023-07-05,14:55:00,16:10:00,1.25
2023-07-06,10:18:11,16:26:00,6.13
2023-07-06,23:47:00,00:45:00,0.97
2023-07-07,09:03:00,17:21:00,8.30
2023-07-07,23:38:10,23:55:10,0.28
2023-07-10,00:01:00,01:47:32,1.78
2023-07-10,08:05:15,08:53:38,0.81
2023-07-10,10:33:00,17:08:00,6.58
2023-07-11,08:57:29,16:48:13,7.85
2023-07-11,23:16:57,00:57:47,1.68
2023-07-12,10:11:42,11:18:43,1.12
2023-07-14,09:55:47,16:45:11,6.82
2023-07-14,20:30:00,21:11:37,0.69
2023-07-14,23:02:04,23:59:59,0.97
2023-07-15,00:00:00,02:32:42,2.54
2023-07-18,09:40:42,11:54:35,2.23
2023-07-18,13:03:22,16:17:29,3.24
2023-07-19,08:08:03,10:24:37,2.28
2023-07-19,11:50:02,12:07:42,0.29
2023-07-19,13:30:00,14:00:37,0.51
2023-07-19,15:12:31,16:52:00,1.66
2023-07-19,23:24:35,01:25:47,2.02
2023-07-20,07:27:58,09:20:48,1.88
2023-07-20,10:21:47,16:59:01,6.62
2023-07-21,08:09:46,08:29:05,0.32
2023-07-21,10:00:03,17:52:00,7.87
2023-07-23,23:00:00,23:59:59,1.00
2023-07-24,00:00:00,01:14:41,1.24
2023-07-24,07:45:07,09:33:25,1.80
2023-07-24,11:15:00,12:37:03,1.37
2023-07-24,14:09:03,17:00:00,2.85
2023-07-24,23:15:00,00:41:00,1.43
2023-07-25,08:30:00,10:30:00,2.00
2023-07-25,11:40:33,17:30:32,5.83
2023-07-26,08:15:00,08:45:00,0.50
2023-07-26,10:00:00,15:30:00,5.50
2023-07-26,23:15:00,01:30:46,2.26
2023-07-27,08:57:01,11:23:13,2.44
2023-07-27,13:19:37,17:23:40,4.07
2023-07-27,22:35:50,02:32:50,3.95
2023-07-28,09:20:00,10:13:18,0.89
2023-07-28,14:10:00,16:54:10,2.74
2023-07-30,16:27:44,16:56:53,0.49
2023-07-30,23:15:00,23:59:59,0.75
2023-07-31,00:00:00,01:11:00,1.18
2023-07-31,08:25:29,13:04:00,4.64
2023-07-31,14:13:00,17:51:00,3.63
2023-07-31,23:40:00,23:59:00,0.32
Overall Description Breakdown
"Client: Angelini, Bill: BD, Study: N/A",0.43 hours
"Client: Axonis, Bill: BD, Study: N/A",4.67 hours
"Client: BHVN, Bill: Study, Study: Larkin",3.78 hours
"Client: BHVN, Bill: Study, Study: Xisis",13.94 hours
"Client: BHVN, Bill: Study, Study: Wyndle",12.60 hours
"Client: BHVN, Bill: BD, Study: N/A",1.91 hours
"Client: BHVN, Bill: Study, Study: Yamamoto",1.69 hours
"Client: CSTI, Bill: BD, Study: N/A",0.97 hours
"Client: Cardiff, Bill: Study, Study: N/A",0.89 hours
"Client: Cerevance, Bill: BD, Study: N/A",2.87 hours
"Client: Encoded, Bill: BD, Study: N/A",1.00 hours
"Client: IVS, Bill: Admin, Study: N/A",30.82 hours
"Client: IVS, Bill: BD, Study: N/A",3.30 hours
"Client: IVS, Bill: Admin, Study: Team",9.30 hours
"Client: IVS, Bill: Scientific, Study: N/A",10.44 hours
"Client: IVS, Bill: Admin, Study: ACC",3.54 hours
"Client: IVS, Bill: Admin, Study: S&R",4.14 hours
"Client: Merck, Bill: BD, Study: N/A",5.63 hours
"Client: Pandea, Bill: Study, Study: Giovinazzi",16.29 hours
"Client: Pandeia, Bill: BD, Study: N/A",0.82 hours
"Client: Toragen, Bill: BD, Study: N/A",5.26 hours
"Client: Xenon, Bill: BD, Study: N/A",1.22 hours
