subject	group	syllable	usage	treat
32	5	0	0.044619	D2_UNK_Veh
4	7	0	0.030848	D2_KND_100
36	7	0	0.026667	D2_KND_100
47	4	0	0.041229	D2_KND_Veh
11	4	0	0.030104	D2_KND_Veh
50	0	0	0.047927	D1_KND_Veh
14	9	0	0.060096	D3_UNK_Veh
34	3	0	0.043252	D1_KND_100
49	4	0	0.040120	D2_KND_Veh
46	2	0	0.032158	D1_KND_50
47	0	0	0.047755	D1_KND_Veh
35	3	0	0.030979	D1_KND_100
50	4	0	0.025348	D2_KND_Veh
5	2	0	0.053738	D1_KND_50
17	3	0	0.045088	D1_KND_100
11	8	0	0.039100	D3_KND_Veh
14	5	0	0.061264	D2_UNK_Veh
16	1	0	0.041174	D1_UNK_Veh
6	10	0	0.064902	D3_KND_50
48	9	0	0.052681	D3_UNK_Veh
21	10	0	0.046529	D3_KND_50
35	7	0	0.023021	D2_KND_100
40	2	0	0.037562	D1_KND_50
9	0	0	0.040253	D1_KND_Veh
50	8	0	0.042837	D3_KND_Veh
3	11	0	0.045776	D3_KND_100
24	6	0	0.030340	D2_KND_50
39	10	0	0.036109	D3_KND_50
7	6	0	0.040940	D2_KND_50
53	5	0	0.033310	D2_UNK_Veh
51	0	0	0.058122	D1_KND_Veh
30	5	0	0.047712	D2_UNK_Veh
38	6	0	0.050212	D2_KND_50
33	3	0	0.032839	D1_KND_100
45	2	0	0.031180	D1_KND_50
30	1	0	0.052868	D1_UNK_Veh
22	10	0	0.037113	D3_KND_50
55	5	0	0.045511	D2_UNK_Veh
25	8	0	0.047694	D3_KND_Veh
18	11	0	0.035252	D3_KND_100
15	1	0	0.041965	D1_UNK_Veh
15	9	0	0.039594	D3_UNK_Veh
54	5	0	0.026658	D2_UNK_Veh
32	1	0	0.070066	D1_UNK_Veh
49	0	0	0.039438	D1_KND_Veh
13	5	0	0.041199	D2_UNK_Veh
15	5	0	0.041259	D2_UNK_Veh
37	2	0	0.030443	D1_KND_50
40	10	0	0.057159	D3_KND_50
48	5	0	0.054476	D2_UNK_Veh
58	0	0	0.027998	D1_KND_Veh
43	3	0	0.053082	D1_KND_100
35	11	0	0.033689	D3_KND_100
21	6	0	0.036894	D2_KND_50
22	6	0	0.028820	D2_KND_50
21	2	0	0.040804	D1_KND_50
39	2	0	0.044276	D1_KND_50
60	1	0	0.034117	D1_UNK_Veh
12	0	0	0.046705	D1_KND_Veh
23	10	0	0.069673	D3_KND_50
28	8	0	0.034535	D3_KND_Veh
19	7	0	0.051195	D2_KND_100
20	11	0	0.054278	D3_KND_100
32	9	0	0.054982	D3_UNK_Veh
26	8	0	0.031374	D3_KND_Veh
17	7	0	0.039180	D2_KND_100
3	7	0	0.046398	D2_KND_100
7	10	0	0.051104	D3_KND_50
9	8	0	0.019893	D3_KND_Veh
26	4	0	0.030120	D2_KND_Veh
55	1	0	0.026618	D1_UNK_Veh
2	11	0	0.045946	D3_KND_100
37	10	0	0.029554	D3_KND_50
14	1	0	0.059154	D1_UNK_Veh
16	9	0	0.050599	D3_UNK_Veh
33	7	0	0.027166	D2_KND_100
