D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
0.021225,0.035961,0.019399,0.040816,0.017995,0.025485,0.018741,0.028951,0.024866,0.027410,0.034547,0.010517
0.042957,0.032710,0.011780,0.035246,0.007467,0.019333,0.036678,0.019125,0.006247,0.015637,0.012375,0.015052
0.046880,0.039688,0.055908,0.025179,0.021809,0.021216,0.021063,0.012403,0.022175,0.038658,0.041732,0.014398
0.031096,0.013524,0.031669,0.045355,0.023891,0.011154,0.016899,0.023694,0.015333,0.013960,0.021396,0.017661
0.042170,0.019373,0.025720,0.019333,0.017141,0.023123,0.010195,0.020459,0.027703,0.029967,0.015886,0.027037
0.021570,0.032329,0.007924,0.016103,0.022046,0.014245,0.034379,0.022939,0.007726,0.017057,0.016067,0.006817
0.030165,0.024731,0.026552,0.036021,0.019159,0.018308,0.021178,0.037828,0.010880,0.014212,0.023061,0.019608
0.037841,0.035106,0.036694,0.042697,0.016050,0.042060,0.024381,0.022855,0.028421,0.011460,0.022071,0.012355
0.030218,0.040114,0.021195,0.025248,0.026888,0.015223,0.012891,0.030534,0.026868,0.010666,0.028169,0.008000
0.047574,0.021207,0.024450,0.036593,0.023920,0.030120,0.035154,0.019585,0.015694,0.018512,0.020158,0.034871
0.035025,0.033630,0.039364,0.028119,0.028133,0.033235,0.020699,0.012015,0.010426,0.019527,0.034570,0.015199
0.017431,0.034850,0.037893,0.042140,0.017037,0.009341,0.021368,0.016988,,0.028958,,0.015925
0.023256,0.034846,0.017317,0.064238,,,,,,,,
0.061607,0.046769,0.042269,0.023780,,,,,,,,
0.029401,0.045606,0.033412,0.047444,,,,,,,,
