subjectID,D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
1,0.033884,,,,0.010297,,,,0.021053,,,
2,0.021599,,,,0.021556,,,,0.032095,,,
3,0.028728,,,,0.025378,,,,0.018084,,,
4,0.019938,,,,0.012853,,,,0.016635,,,
5,,0.026869,,,,0.021989,,,,0.028765,,
6,,0.032290,,,,0.016458,,,,0.022054,,
7,,0.019013,,,,0.032221,,,,0.019353,,
8,,0.024847,,,,0.036196,,,,0.023964,,
9,,,0.051435,,,,0.021368,,,,0.025249,
10,,,0.037466,,,,0.036214,,,,0.038059,
11,,,0.041750,,,,0.039446,,,,0.029459,
12,,,0.026232,,,,0.024818,,,,0.020964,
13,,,,0.020530,,,,0.029963,,,,0.032246
14,,,,0.016193,,,,0.023015,,,,0.022236
15,,,,0.021759,,,,0.024636,,,,0.013089
16,,,,0.017544,,,,0.015152,,,,0.020471
17,0.028068,,,,0.020814,,,,0.014596,,,
18,0.032247,,,,0.024074,,,,0.024543,,,
19,0.018331,,,,0.017375,,,,0.007450,,,
20,0.027727,,,,0.020707,,,,0.013493,,,
21,,0.038606,,,,0.028743,,,,0.033944,,
22,,0.033481,,,,0.020777,,,,0.025196,,
23,,0.033538,,,,0.018976,,,,0.009829,,
24,,0.031216,,,,0.023463,,,,0.042471,,
25,,,0.024928,,,,0.015093,,,,0.027612,
26,,,0.040881,,,,0.029657,,,,0.030183,
27,,,0.024954,,,,0.024573,,,,,
28,,,0.020606,,,,0.020718,,,,0.031532,
29,,,,0.027445,,,,0.034562,,,,0.023552
30,,,,0.019873,,,,0.013307,,,,0.009048
31,,,,0.019495,,,,0.015448,,,,0.004772
32,,,,0.020957,,,,0.020436,,,,0.016661
33,0.017727,,,,0.018873,,,,0.017632,,,
34,0.028835,,,,0.015395,,,,0.013188,,,
35,0.029327,,,,0.024233,,,,0.019616,,,
36,0.026521,,,,0.006933,,,,,,,
37,,0.034594,,,,0.028490,,,,0.030760,,
38,,0.018134,,,,0.024752,,,,0.014056,,
39,,0.027523,,,,0.032695,,,,0.057774,,
40,,0.024096,,,,0.015339,,,,0.023862,,
41,0.032667,,,,,,,,,,,
42,0.022051,,,,,,,,,,,
43,0.039811,,,,,,,,,,,
44,,0.021132,,,,,,,,,,
45,,0.024418,,,,,,,,,,
46,,0.029737,,,,,,,,,,
47,,,0.017192,,,,0.010495,,,,0.032457,
48,,,,0.017962,,,,0.017696,,,,0.018501
49,,,0.014403,,,,0.034102,,,,0.028922,
50,,,0.029669,,,,0.037276,,,,0.026654,
51,,,0.029806,,,,0.020023,,,,0.017813,
52,,,0.014321,,,,,,,,,
53,,,,0.026560,,,,0.024805,,,,0.029361
54,,,,0.023085,,,,0.034098,,,,0.025714
55,,,,0.011173,,,,0.025052,,,,0.018128
56,,,,0.019044,,,,,,,,
57,,,0.011885,,,,,,,,,
58,,,0.020602,,,,,,,,,
59,,,,0.026931,,,,,,,,
60,,,,0.010993,,,,,,,,
