npcID	Name	Level	HP	AtkPw	AtkSp	MgcPw	Block	Dodge	Armor	MgcRs	Crits	Item1ID	Item2ID	Item3ID	Item4ID	Item5ID	XPYield	act1	act2	act3	act4	act5	act6	act7	act8	act9	TextStart	TextDeath	TextWin	Description
1	Goblin	2	157	60	30	54	50	49	48	54	20	1	2	3	21	41	3	13	11	9	13	11	9	13	11	2	The goblin snarls and brandishes its rusty blade!	The goblin crumples with a shriek.	The goblin cackles in triumph.	
2	Gnome	1	151	47	40	66	60	55	44	66	20	10	6	5	20	35	3	1	2	1	2	8	1	2	1	12	The gnome adjusts his monocle and cracks his knuckles.	Should�ve stayed underground...	The gnome lets out a smug laugh and dusts off his vest.	
3	Slime	1	187	60	10	46	70	50	60	68	90	16	8	12	29	7	4	5	36	7	6	7	7	7	7	28	The slime jiggles ominously toward you.	"It pops with a splat, oozing into the ground."	The slime engulfs your feet and pulls you under.	
4	Skeleton	1	148	35	30	55	40	50	41	66	15	4	3	13	21	42	3	1	1	7	1	5	1	1	1	2	Bones clatter as the skeleton rises to fight!	The skeleton collapses into a loose pile of bones.	It points a bony finger and lets out a silent chuckle.	
5	Zombie	1	169	53	30	35	60	47	45	64	40	9	10	14	11	40	3	12	12	12	12	12	12	12	12	2	The zombie moans as it lurches into view.	The zombie crumbles into a heap of rotting flesh.	The zombie groans triumphantly over your twitching body.	
6	Imp	1	66	33	75	53	40	46	36	43	20	15	17	18	42	61	1	2	1	6	8	12	2	35	23	28	A mischievous imp cackles and flutters into battle.	"With a squeal, the imp bursts into a puff of smoke."	The imp dances gleefully on your fallen form.	
7	Goat	1	123	15	35	39	35	43	29	47	20	19	38	36	23	63	2	3	3	33	3	12	3	3	3	28	The goat stomps its hooves and snorts angrily.	The goat bleats one last time and collapses.	"Victorious, the goat rears up and lets out a mighty bleat."	
8	Demogorgon	4	206	66	80	10	67	50	70	57	25	27	37	60	40	69	5	12	35	12	2	43	1	39	12	43	A dimensional rift tears open and the Demogorgon steps through.	The Demogorgon howls and implodes into shadow.	It lets out a bone-chilling screech as it towers over your broken body.	
9	Strange Meal	1	100	55	10	62	65	37	35	36	70	24	28	32	30	31	2	8	44	33	36	2	8	2	8	28	A grotesque meal slithers from the plate and comes to life!	"The strange meal sizzles, deflates, and returns to inanimate slop."	The meal bubbles ominously�your appetite will never recover.	
10	Ghoul Monk	2	182	67	20	60	70	80	10	88	5	22	25	26	34	33	3	1	5	7	6	4	17	1	7	18	"A cloaked monk floats forward, hollow eyes glowing with hunger."	"The monk's body crumples, dissolving into dust and silence."	The ghoul monk bows solemnly over your defeated corpse.	
