Sacha,Dragnea,5,5,5,5,5,5,5,5,Romania,0
Maor,Shechtman,5,5,5,5,5,5,5,5,Israel,0
Ryan,Goodman,7,4,9,3,3,8,1,3,USA,0
Niel,Golka,6,10,4,4,5,5,4,4,Poland,0
Giovanni,Petro,4,7,3,4,5,4,8,4,Italy,0
Wes,Thevenard,3,7,8,4,5,8,7,5,Australia,0
Izzy,Putman,7,7,4,7,9,7,3,8,Canada,0
Errick,Gutzmann,10,10,5,4,3,6,4,5,Germany,0
Garald,Litva,7,4,3,4,5,6,4,6,Lithuania,0
Conrad,Rowen,3,8,1,7,4,5,4,7,England,0
Sid,Lantz,3,3,8,7,4,5,4,9,Austria,0
Xymenes,Alejos,6,6,3,6,3,3,7,8,Spain,0
Walter,Forster,6,6,2,4,7,3,5,6,Ireland,0
Paul,Whitworth,3,5,3,8,7,6,8,5,England,0
Rob,Van Loon,4,6,4,5,4,3,4,7,Netherlands,0
Wye,MacElwee,7,4,8,7,3,7,5,5,USA,0
Zinho,Salvador,5,4,4,7,7,7,10,5,Brazil,0
Nakai,Yoshitaka,8,3,3,5,8,9,7,7,Japan,0
Zheng,Xianliang,4,2,3,4,5,6,7,8,China,0
Ikanov,Kuntov,6,2,7,10,1,3,5,8,Russia,0
