year,cycle,food_available,nutrition_available
0,1,63,2460
0,2,0,2888
0,3,0,3148
0,4,0,3067
0,5,0,3074
0,6,0,3272
0,7,0,3158
0,8,0,3404
0,9,0,3580
0,10,0,3535
0,11,0,3602
0,12,0,3555
1,1,0,3400
1,2,0,3417
1,3,0,3235
1,4,0,3187
1,5,0,3106
1,6,0,3302
1,7,0,3354
1,8,0,3509
1,9,0,3671
1,10,0,3640
1,11,0,3848
1,12,0,3858
2,1,0,4052
2,2,0,3838
2,3,0,3568
2,4,0,3710
2,5,0,3600
2,6,0,3691
2,7,0,3848
2,8,0,3592
2,9,0,3626
2,10,0,3742
2,11,0,3458
2,12,0,3096
3,1,0,3094
3,2,0,2734
3,3,0,2935
3,4,0,2808
3,5,0,2442
3,6,0,2472
3,7,0,2424
3,8,0,2030
3,9,0,1970
3,10,0,1776
3,11,0,1350
3,12,0,1211
4,1,0,802
4,2,0,607
4,3,0,185
4,4,0,280
4,5,0,365
4,6,0,504
4,7,0,389
4,8,0,0
4,9,0,0
4,10,0,122
4,11,0,0
4,12,0,275
5,1,0,416
5,2,0,286
5,3,0,492
5,4,0,698
5,5,0,588
5,6,0,550
5,7,0,768
5,8,0,517
5,9,0,730
5,10,0,509
5,11,0,750
5,12,0,870
6,1,0,776
6,2,0,465
6,3,0,146
6,4,0,369
6,5,0,116
6,6,0,335
6,7,0,460
6,8,0,482
6,9,0,629
6,10,0,402
6,11,0,192
6,12,0,0
7,1,0,266
7,2,0,28
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,7,0,0
7,8,0,416
7,9,0,688
7,10,0,851
7,11,0,908
7,12,0,1118
8,1,0,1489
8,2,0,1512
8,3,0,1712
8,4,0,2023
8,5,0,2406
8,6,0,2302
8,7,0,2338
8,8,0,2388
8,9,0,2587
8,10,0,2442
8,11,0,2716
8,12,0,2853
9,1,0,3119
9,2,0,3246
9,3,0,3300
9,4,0,3083
9,5,0,3214
9,6,0,3017
9,7,0,2808
9,8,0,2568
9,9,0,2288
9,10,0,2582
9,11,0,2284
9,12,0,2536
10,1,0,2726
10,2,0,2479
10,3,0,2360
10,4,0,2486
10,5,0,2554
10,6,0,2624
10,7,0,2564
10,8,0,2582
10,9,0,2828
10,10,0,2562
10,11,0,2774
10,12,0,2618
11,1,0,2419
11,2,0,2420
11,3,0,2227
11,4,0,1876
11,5,0,2104
11,6,0,2066
11,7,0,1796
11,8,0,1874
11,9,0,1904
11,10,0,1988
11,11,0,2018
11,12,0,1738
12,1,0,1658
12,2,0,1800
12,3,0,1692
12,4,0,1598
12,5,0,1766
12,6,0,1708
12,7,0,1434
12,8,0,1064
12,9,0,909
12,10,0,570
12,11,0,456
12,12,0,398
13,1,0,434
13,2,0,468
13,3,0,91
13,4,0,0
13,5,0,0
13,6,0,72
13,7,0,101
13,8,0,0
13,9,0,0
13,10,0,0
13,11,0,0
13,12,0,58
14,1,0,0
14,2,0,242
14,3,0,359
14,4,0,288
14,5,0,439
14,6,0,396
14,7,0,390
14,8,0,226
14,9,0,66
14,10,0,300
14,11,0,444
14,12,0,412
15,1,0,602
15,2,0,798
15,3,0,888
15,4,0,1164
15,5,0,1046
15,6,0,888
15,7,0,1166
15,8,0,1004
15,9,0,1277
15,10,0,1418
15,11,0,1515
15,12,0,1716
16,1,0,1859
16,2,0,1616
16,3,0,1657
16,4,0,1750
16,5,0,1950
16,6,0,1678
16,7,0,1490
16,8,0,1700
16,9,0,1870
16,10,0,2104
16,11,0,2215
16,12,0,2180
17,1,0,2276
17,2,0,2301
17,3,0,2212
17,4,0,2404
17,5,0,2342
17,6,0,2230
17,7,0,2290
17,8,0,2284
17,9,0,2341
17,10,0,2264
17,11,0,2059
17,12,0,1892
18,1,0,1750
18,2,0,1792
18,3,0,1540
18,4,0,1358
18,5,0,1037
18,6,0,820
18,7,0,933
18,8,0,569
18,9,0,688
18,10,0,333
18,11,0,444
18,12,0,604
19,1,0,675
19,2,0,667
19,3,0,422
19,4,0,278
19,5,0,243
19,6,0,58
19,7,0,0
19,8,0,0
19,9,0,0
19,10,0,301
19,11,0,486
19,12,0,288
20,1,0,551
20,2,0,367
20,3,0,522
20,4,0,590
20,5,0,754
20,6,0,628
20,7,0,668
20,8,0,532
20,9,0,811
20,10,0,772
20,11,0,794
20,12,0,568
21,1,0,682
21,2,0,750
21,3,0,784
21,4,0,966
21,5,0,1075
21,6,0,1316
21,7,0,1317
21,8,0,1381
21,9,0,1312
21,10,0,1070
21,11,0,713
21,12,0,768
22,1,0,634
22,2,0,866
22,3,0,1034
22,4,0,826
22,5,0,950
22,6,0,969
22,7,0,890
22,8,0,933
22,9,0,880
22,10,0,520
22,11,0,573
22,12,0,164
23,1,0,187
23,2,0,0
23,3,0,186
23,4,0,0
23,5,0,69
23,6,0,0
23,7,0,138
23,8,0,0
23,9,0,72
23,10,0,0
23,11,0,117
23,12,0,391
24,1,0,479
24,2,0,739
24,3,0,698
24,4,0,758
24,5,0,798
24,6,0,662
24,7,0,526
24,8,0,460
24,9,0,448
24,10,0,156
24,11,0,370
24,12,0,267
25,1,0,94
25,2,0,243
25,3,0,0
25,4,0,96
25,5,0,258
25,6,0,0
25,7,0,56
25,8,0,280
25,9,0,89
25,10,0,0
25,11,0,0
25,12,0,2
26,1,0,0
26,2,0,0
26,3,0,0
26,4,0,0
26,5,0,0
26,6,0,0
26,7,0,306
26,8,0,600
26,9,0,625
26,10,0,447
26,11,0,692
26,12,0,936
27,1,0,854
27,2,0,1100
27,3,0,1130
27,4,0,1362
27,5,0,1540
27,6,0,1624
27,7,0,1890
27,8,0,1746
27,9,0,1463
27,10,0,1263
27,11,0,1238
27,12,0,1139
28,1,0,1216
28,2,0,1247
28,3,0,1390
28,4,0,1546
28,5,0,1724
28,6,0,1388
28,7,0,1514
28,8,0,1520
28,9,0,1644
28,10,0,1718
28,11,0,1464
28,12,0,1212
29,1,0,1074
29,2,0,750
29,3,0,826
29,4,0,976
29,5,0,828
29,6,0,966
29,7,0,693
29,8,0,818
29,9,0,588
29,10,0,253
29,11,0,169
29,12,0,0
30,1,0,41
30,2,0,0
30,3,0,0
30,4,0,0
30,5,0,0
30,6,0,0
30,7,0,279
30,8,0,168
30,9,0,500
30,10,0,466
30,11,0,210
30,12,0,387
31,1,0,160
31,2,0,250
31,3,0,0
31,4,0,0
31,5,0,0
31,6,0,0
31,7,0,0
31,8,0,0
31,9,0,269
31,10,0,148
31,11,0,62
31,12,0,0
32,1,0,310
32,2,0,274
32,3,0,388
32,4,0,724
32,5,0,1053
32,6,0,900
32,7,0,1233
32,8,0,1484
32,9,0,1782
32,10,0,1960
32,11,0,2066
32,12,0,2104
33,1,0,2116
33,2,0,2152
33,3,0,2436
33,4,0,2259
33,5,0,2028
33,6,0,2150
33,7,0,2066
33,8,0,1940
33,9,0,1658
33,10,0,1641
33,11,0,1910
33,12,0,2027
34,1,0,2271
34,2,0,2472
34,3,0,2654
34,4,0,2638
34,5,0,2561
34,6,0,2673
34,7,0,2773
34,8,0,2504
34,9,0,2592
34,10,0,2348
34,11,0,2182
34,12,0,2346
35,1,0,2346
35,2,0,2054
35,3,0,2092
35,4,0,1734
35,5,0,1450
35,6,0,1642
35,7,0,1712
35,8,0,1522
35,9,0,1534
35,10,0,1320
35,11,0,972
35,12,0,944
36,1,0,1076
36,2,0,1124
36,3,0,1113
36,4,0,787
36,5,0,924
36,6,0,902
36,7,0,596
36,8,0,532
36,9,0,450
36,10,0,295
36,11,0,356
36,12,0,0
37,1,0,103
37,2,0,0
37,3,0,150
37,4,0,0
37,5,0,61
37,6,0,0
37,7,0,30
37,8,0,0
37,9,0,8
37,10,0,0
37,11,0,45
37,12,0,132
38,1,0,228
38,2,0,122
38,3,0,185
38,4,0,30
38,5,0,0
38,6,0,189
38,7,0,332
38,8,0,326
38,9,0,314
38,10,0,364
38,11,0,414
38,12,0,276
39,1,0,394
39,2,0,408
39,3,0,348
39,4,0,92
39,5,0,0
39,6,0,0
39,7,0,341
39,8,0,407
39,9,0,750
39,10,0,918
39,11,0,1029
39,12,0,1274
40,1,0,1280
40,2,0,1228
40,3,0,1444
40,4,0,1598
40,5,0,1765
40,6,0,1974
40,7,0,2193
40,8,0,2462
40,9,0,2474
40,10,0,2564
40,11,0,2566
40,12,0,2570
41,1,0,2816
41,2,0,3080
41,3,0,2829
41,4,0,3047
41,5,0,2973
41,6,0,3061
41,7,0,2878
41,8,0,2693
41,9,0,2781
41,10,0,2444
41,11,0,2136
41,12,0,2077
42,1,0,1732
42,2,0,1519
42,3,0,1328
42,4,0,1380
42,5,0,1147
42,6,0,1112
42,7,0,1204
42,8,0,1210
42,9,0,890
42,10,0,838
42,11,0,604
42,12,0,384
43,1,0,534
43,2,0,398
43,3,0,441
43,4,0,341
43,5,0,277
43,6,0,220
43,7,0,166
43,8,0,70
43,9,0,0
43,10,0,30
43,11,0,259
43,12,0,172
44,1,0,0
44,2,0,0
44,3,0,0
44,4,0,0
44,5,0,0
44,6,0,0
44,7,0,0
44,8,0,158
44,9,0,317
44,10,0,247
44,11,0,652
44,12,0,660
45,1,0,679
45,2,0,773
45,3,0,844
45,4,0,682
45,5,0,585
45,6,0,573
45,7,0,631
45,8,0,661
45,9,0,532
45,10,0,451
45,11,0,801
45,12,0,944
46,1,0,1150
46,2,0,1212
46,3,0,1301
46,4,0,1434
46,5,0,1662
46,6,0,1936
46,7,0,1712
46,8,0,1934
46,9,0,1922
46,10,0,1850
46,11,0,2160
46,12,0,1925
47,1,0,2034
47,2,0,2186
47,3,0,2438
47,4,0,2507
47,5,0,2660
47,6,0,2452
47,7,0,2650
47,8,0,2654
47,9,0,2412
47,10,0,2608
47,11,0,2494
47,12,0,2502
48,1,0,2261
48,2,0,2330
48,3,0,2150
48,4,0,1989
48,5,0,1802
48,6,0,1876
48,7,0,2095
48,8,0,1760
48,9,0,1845
48,10,0,1580
48,11,0,1622
48,12,0,1501
49,1,0,1288
49,2,0,1323
49,3,0,1204
49,4,0,991
49,5,0,1080
49,6,0,730
49,7,0,740
49,8,0,606
49,9,0,610
49,10,0,336
49,11,0,286
49,12,0,278
50,1,0,170
50,2,0,0
50,3,0,0
50,4,0,211
50,5,0,156
50,6,0,38
50,7,0,52
50,8,0,67
50,9,0,246
50,10,0,300
50,11,0,386
50,12,0,337
51,1,0,152
51,2,0,0
51,3,0,0
51,4,0,0
51,5,0,0
51,6,0,78
51,7,0,238
51,8,0,62
51,9,0,268
51,10,0,555
51,11,0,402
51,12,0,142
52,1,0,234
52,2,0,190
52,3,0,394
52,4,0,592
52,5,0,480
52,6,0,206
52,7,0,254
52,8,0,149
52,9,0,0
52,10,0,90
52,11,0,70
52,12,0,99
53,1,0,0
53,2,0,76
53,3,0,0
53,4,0,0
53,5,0,0
53,6,0,222
53,7,0,396
53,8,0,283
53,9,0,386
53,10,0,122
53,11,0,80
53,12,0,340
54,1,0,640
54,2,0,642
54,3,0,860
54,4,0,1136
54,5,0,1274
54,6,0,1250
54,7,0,1390
54,8,0,1505
54,9,0,1641
54,10,0,1858
54,11,0,1988
54,12,0,1946
55,1,0,1982
55,2,0,2014
55,3,0,1866
55,4,0,1760
55,5,0,1890
55,6,0,1640
55,7,0,1724
55,8,0,1769
55,9,0,1663
55,10,0,1517
55,11,0,1459
55,12,0,1368
56,1,0,1160
56,2,0,958
56,3,0,640
56,4,0,438
56,5,0,530
56,6,0,420
56,7,0,153
56,8,0,140
56,9,0,0
56,10,0,13
56,11,0,0
56,12,0,0
57,1,0,162
57,2,0,0
57,3,0,138
57,4,0,158
57,5,0,0
57,6,0,0
57,7,0,140
57,8,0,9
57,9,0,0
57,10,0,95
57,11,0,66
57,12,0,110
58,1,0,262
58,2,0,404
58,3,0,425
58,4,0,543
58,5,0,579
58,6,0,505
58,7,0,600
58,8,0,322
58,9,0,176
58,10,0,261
58,11,0,0
58,12,0,0
59,1,0,0
59,2,0,0
59,3,0,170
59,4,0,136
59,5,0,0
59,6,0,0
59,7,0,0
59,8,0,0
59,9,0,78
59,10,0,0
59,11,0,0
59,12,0,316
60,1,0,540
60,2,0,499
60,3,0,462
60,4,0,436
60,5,0,610
60,6,0,564
60,7,0,965
60,8,0,832
60,9,0,760
60,10,0,647
60,11,0,819
60,12,0,940
61,1,0,1290
61,2,0,1174
61,3,0,1598
61,4,0,1934
61,5,0,2282
61,6,0,2589
61,7,0,2614
61,8,0,2758
61,9,0,2752
61,10,0,2960
61,11,0,3306
61,12,0,3118
62,1,0,3286
62,2,0,3418
62,3,0,3772
62,4,0,3780
62,5,0,3600
62,6,0,3958
62,7,0,4274
62,8,0,4662
62,9,0,4452
62,10,0,4500
62,11,0,4360
62,12,0,4527
63,1,0,4549
63,2,0,4534
63,3,0,4362
63,4,0,4156
63,5,0,4099
63,6,0,4181
63,7,0,4516
63,8,0,4262
63,9,0,4388
63,10,0,4379
63,11,0,4274
63,12,0,4094
64,1,0,3992
64,2,0,4308
64,3,0,4056
64,4,0,4227
64,5,0,3947
64,6,0,3750
64,7,0,3580
64,8,0,3596
64,9,0,3662
64,10,0,3504
64,11,0,3412
64,12,0,3530
65,1,0,3739
65,2,0,3654
65,3,0,3827
65,4,0,3603
65,5,0,3341
65,6,0,3388
65,7,0,3455
65,8,0,3138
65,9,0,2901
65,10,0,3077
65,11,0,2740
65,12,0,2433
66,1,0,2620
66,2,0,2645
66,3,0,2442
66,4,0,2612
66,5,0,2732
