Timestamp,Year,Cycle,Event
2024-07-09 01:47:47,0,1,New character born: Cybput (toon0026) (Poputah) - Parents: Mechput (toon0006) and Cybpop (toon0009)
2024-07-09 01:47:47,0,1,New character born: Emoglare (toon0027) (Konforme) - Parents: Sexgrim (toon0014) and Metalstorm (toon0019)
2024-07-09 01:47:47,0,1,New character born: Plombing (toon0028) (Morfigo) - Parents: Plingplox (toon0015) and Derplis (toon0017)
2024-07-09 01:47:47,0,1,New character born: Derplogs (toon0029) (Morfigo) - Parents: Dernber (toon0021) and Plombing (toon0025)
2024-07-09 01:47:47,0,3,New character born: Cybpot (toon0030) (Poputah) - Parents: Mechput (toon0006) and Cybpop (toon0009)
2024-07-09 01:47:47,0,3,New character born: Skibadum (toon0031) (Skibidi) - Parents: Skibadiddle (toon0010) and Skibdoodle (toon0005)
2024-07-09 01:47:47,0,3,New character born: Morberflox (toon0032) (Morfigo) - Parents: Derplis (toon0017) and Plingplox (toon0015)
2024-07-09 01:47:47,0,3,New character born: Gothshade (toon0033) (Konforme) - Parents: Grimblaze (toon0018) and Metalbane (toon0023)
2024-07-09 01:47:48,0,4,New character born: Skibadiddle (toon0034) (Skibidi) - Parents: Skibdoodle (toon0005) and Skibadiddle (toon0010)
2024-07-09 01:47:48,0,4,New character born: Shadowglow (toon0035) (Konforme) - Parents: Grimblaze (toon0018) and Metalbane (toon0023)
2024-07-09 01:47:48,0,4,New character born: Gothnight (toon0036) (Konforme) - Parents: Metalstorm (toon0019) and Sexgrim (toon0014)
2024-07-09 01:47:48,0,4,New character born: Emofury (toon0037) (Konforme) - Parents: Metalbane (toon0023) and Grimblaze (toon0018)
2024-07-09 01:47:48,0,5,New character born: Plomberblips (toon0038) (Morfigo) - Parents: Blingerplox (toon0012) and Derpingplox (toon0008)
2024-07-09 01:47:48,0,5,New character born: Gothstorm (toon0039) (Konforme) - Parents: Grimwhisper (toon0020) and Emoglare (toon0016)
2024-07-09 01:47:48,0,5,New character born: Blingplis (toon0040) (Morfigo) - Parents: Plombing (toon0025) and Dernber (toon0021)
2024-07-09 01:47:48,0,6,New character born: Skibiddy (toon0041) (Skibidi) - Parents: Skibadiddle (toon0010) and Skibdoodle (toon0005)
2024-07-09 01:47:48,0,6,New character born: Derplis (toon0042) (Morfigo) - Parents: Derplis (toon0017) and Plingplox (toon0015)
2024-07-09 01:47:49,0,7,New character born: Skibbitty (toon0043) (Skibidi) - Parents: Skibadiddle (toon0010) and Skibdoodle (toon0005)
2024-07-09 01:47:49,0,7,New character born: Derplogs (toon0044) (Morfigo) - Parents: Blingerplox (toon0012) and Derpingplox (toon0008)
2024-07-09 01:47:49,0,7,New character born: Shadowglare (toon0045) (Konforme) - Parents: Sexgrim (toon0014) and Metalstorm (toon0019)
2024-07-09 01:47:49,0,7,New character born: Sexshadow (toon0046) (Konforme) - Parents: Emoglare (toon0016) and Grimwhisper (toon0020)
2024-07-09 01:47:49,0,7,New character born: Derpber (toon0047) (Morfigo) - Parents: Plombing (toon0025) and Dernber (toon0021)
2024-07-09 01:47:49,0,8,New character born: Sexshadow (toon0048) (Konforme) - Parents: Sexgrim (toon0014) and Metalstorm (toon0019)
2024-07-09 01:47:49,0,8,New character born: Plingber (toon0049) (Morfigo) - Parents: Plingplox (toon0015) and Derplis (toon0017)
2024-07-09 01:47:49,0,8,New character born: Emoshade (toon0050) (Konforme) - Parents: Emoglare (toon0016) and Grimwhisper (toon0020)
