year,cycle,food_available,nutrition_available
0,1,0,2288
0,2,0,2598
0,3,0,2826
0,4,0,2734
0,5,0,2693
0,6,0,2578
0,7,0,2666
0,8,0,2983
0,9,0,2850
0,10,0,2734
0,11,0,2571
0,12,0,2516
1,1,0,2374
1,2,0,2624
1,3,0,2466
1,4,0,2817
1,5,0,2919
1,6,0,2789
1,7,0,2981
1,8,0,2776
1,9,0,2748
1,10,0,2547
1,11,0,2696
1,12,0,2448
2,1,0,2460
2,2,0,2206
2,3,0,2538
2,4,0,2703
2,5,0,2488
2,6,0,2500
2,7,0,2810
2,8,0,2778
2,9,0,2486
2,10,0,2175
2,11,0,2097
2,12,0,1950
3,1,0,1648
3,2,0,1604
3,3,0,1285
3,4,0,1027
3,5,0,1068
3,6,0,956
3,7,0,1176
3,8,0,1400
3,9,0,1168
3,10,0,926
3,11,0,948
3,12,0,624
4,1,0,596
4,2,0,571
4,3,0,620
4,4,0,503
4,5,0,406
4,6,0,360
4,7,0,0
4,8,0,0
4,9,0,238
4,10,0,268
4,11,0,182
4,12,0,0
5,1,0,66
5,2,0,301
5,3,0,396
5,4,0,626
5,5,0,804
5,6,0,934
5,7,0,1014
5,8,0,785
5,9,0,393
5,10,0,583
5,11,0,318
5,12,0,378
6,1,0,547
6,2,0,498
6,3,0,496
6,4,0,346
6,5,0,520
6,6,0,548
6,7,0,614
6,8,0,784
6,9,0,494
6,10,0,370
6,11,0,136
6,12,0,250
7,1,0,388
7,2,0,412
7,3,0,524
7,4,0,208
7,5,0,0
7,6,0,0
7,7,0,142
7,8,0,266
7,9,0,5
7,10,0,0
7,11,0,0
7,12,0,0
8,1,0,0
8,2,0,217
8,3,0,62
8,4,0,222
8,5,0,380
8,6,0,468
8,7,0,522
8,8,0,706
8,9,0,903
8,10,0,1190
8,11,0,1152
8,12,0,1134
9,1,0,934
9,2,0,858
9,3,0,1100
9,4,0,928
9,5,0,1222
9,6,0,1302
9,7,0,1288
9,8,0,1050
9,9,0,1114
9,10,0,1059
9,11,0,1133
9,12,0,1180
10,1,0,1474
10,2,0,1763
10,3,0,1822
10,4,0,1834
10,5,0,1584
10,6,0,1778
10,7,0,1788
10,8,0,1726
10,9,0,1734
10,10,0,1470
10,11,0,1189
10,12,0,1107
11,1,0,1300
11,2,0,1379
11,3,0,1420
11,4,0,1338
11,5,0,1234
11,6,0,1220
11,7,0,953
11,8,0,810
11,9,0,695
11,10,0,472
11,11,0,570
11,12,0,326
12,1,0,0
12,2,0,0
12,3,0,47
12,4,0,80
12,5,0,0
12,6,0,0
12,7,0,190
12,8,0,62
12,9,0,342
12,10,0,216
12,11,0,454
12,12,0,428
13,1,0,230
13,2,0,248
13,3,0,488
13,4,0,583
13,5,0,409
13,6,0,752
13,7,0,1046
13,8,0,1345
13,9,0,1672
13,10,0,1826
13,11,0,2082
13,12,0,2366
14,1,0,2250
14,2,0,2282
14,3,0,2230
14,4,0,2186
14,5,0,2128
14,6,0,2418
14,7,0,2594
14,8,0,2738
14,9,0,2928
14,10,0,2844
14,11,0,2938
14,12,0,3078
15,1,0,3102
15,2,0,3172
15,3,0,3095
15,4,0,2858
15,5,0,2822
15,6,0,2540
15,7,0,2457
15,8,0,2192
15,9,0,2175
