year,#Morfigo,#Konforme,#Skibidi,#Poputah,#Elgibidi,#Noffinoffs
0,7,6,3,3,5,1
1,18,23,8,5,5,1
2,31,31,15,6,6,1
3,38,41,17,8,6,1
4,45,50,26,10,9,1
5,42,45,24,10,5,0
6,46,49,26,10,4,0
7,47,57,24,8,4,0
8,28,36,14,5,4,0
9,26,39,17,4,5,0
10,32,44,23,4,4,0
11,40,47,26,4,4,0
12,41,57,26,4,4,0
13,26,44,9,4,4,0
14,28,48,8,4,5,0
15,33,52,7,4,5,0
16,35,59,7,4,6,0
17,39,62,5,4,7,0
18,43,69,5,4,6,0
19,30,52,4,4,5,0
20,21,47,3,4,4,0
21,29,56,3,8,4,0
22,34,70,3,9,4,0
23,41,87,3,13,4,0
24,36,64,1,11,3,0
25,36,68,1,13,3,0
26,34,54,1,13,2,0
27,34,57,1,18,2,0
28,46,65,1,22,2,0
29,36,58,1,18,2,0
30,29,51,1,12,2,0
31,34,48,0,12,1,0
32,38,52,0,15,1,0
33,43,59,0,22,1,0
34,52,72,0,25,1,0
35,47,68,0,21,1,0
36,31,77,0,24,1,0
37,24,65,0,20,1,0
38,29,68,0,21,1,0
39,34,74,0,20,1,0
40,27,56,0,10,1,0
41,31,50,0,6,1,0
42,44,63,0,12,0,0
43,40,70,0,10,0,0
44,51,92,0,8,0,0
45,35,64,0,5,0,0
46,26,56,0,1,0,0
47,33,80,0,1,0,0
48,40,84,0,1,0,0
49,47,109,0,1,0,0
50,35,78,0,1,0,0
51,28,59,0,1,0,0
52,35,68,0,1,0,0
53,38,73,0,1,0,0
54,43,72,0,1,0,0
55,46,71,0,1,0,0
