year,cycle,food_available,nutrition_available
0,1,0,2220
0,2,0,2140
0,3,0,2048
0,4,0,1946
0,5,0,1828
0,6,0,2178
0,7,0,2553
0,8,0,2400
0,9,0,2238
0,10,0,2555
0,11,0,2610
0,12,0,2610
1,1,0,2680
1,2,0,2460
1,3,0,2686
1,4,0,2513
1,5,0,2734
1,6,0,2623
1,7,0,2449
1,8,0,2744
1,9,0,2887
1,10,0,2601
1,11,0,2591
1,12,0,2480
2,1,0,2200
2,2,0,1996
2,3,0,1712
2,4,0,1423
2,5,0,1114
2,6,0,797
2,7,0,954
2,8,0,759
2,9,0,979
2,10,0,792
2,11,0,610
2,12,0,546
3,1,0,464
3,2,0,524
3,3,0,666
3,4,0,784
3,5,0,462
3,6,0,368
3,7,0,23
3,8,0,72
3,9,0,0
3,10,0,0
3,11,0,26
3,12,0,100
4,1,0,0
4,2,0,214
4,3,0,6
4,4,0,0
4,5,0,0
4,6,0,385
4,7,0,198
4,8,0,436
4,9,0,590
4,10,0,824
4,11,0,716
4,12,0,501
5,1,0,786
5,2,0,693
5,3,0,882
5,4,0,646
5,5,0,634
5,6,0,458
5,7,0,244
5,8,0,392
5,9,0,213
5,10,0,94
5,11,0,0
5,12,0,243
6,1,0,1
6,2,0,0
6,3,0,2
6,4,0,130
6,5,0,212
6,6,0,474
6,7,0,313
6,8,0,172
6,9,0,0
6,10,0,24
6,11,0,202
6,12,0,441
7,1,0,571
7,2,0,530
7,3,0,357
7,4,0,129
7,5,0,348
7,6,0,72
7,7,0,68
7,8,0,0
7,9,0,216
7,10,0,498
7,11,0,568
7,12,0,716
8,1,0,894
8,2,0,814
8,3,0,776
8,4,0,860
8,5,0,1062
8,6,0,858
8,7,0,586
8,8,0,260
8,9,0,72
8,10,0,0
8,11,0,0
8,12,0,0
9,1,0,0
9,2,0,254
9,3,0,220
9,4,0,431
9,5,0,740
9,6,0,549
9,7,0,706
9,8,0,705
9,9,0,590
9,10,0,328
9,11,0,460
9,12,0,627
10,1,0,541
10,2,0,652
10,3,0,378
10,4,0,92
10,5,0,2
10,6,0,270
10,7,0,512
10,8,0,600
10,9,0,580
10,10,0,509
10,11,0,672
10,12,0,387
11,1,0,224
11,2,0,461
11,3,0,448
11,4,0,496
11,5,0,371
11,6,0,254
11,7,0,51
11,8,0,0
11,9,0,17
11,10,0,16
11,11,0,142
11,12,0,0
12,1,0,241
12,2,0,168
12,3,0,0
12,4,0,74
12,5,0,0
12,6,0,288
12,7,0,518
12,8,0,471
12,9,0,465
12,10,0,674
12,11,0,835
12,12,0,670
13,1,0,856
13,2,0,618
13,3,0,758
13,4,0,1054
13,5,0,1362
13,6,0,1107
13,7,0,1336
13,8,0,1096
13,9,0,1264
13,10,0,1384
13,11,0,1213
13,12,0,916
14,1,0,1138
14,2,0,1072
14,3,0,919
14,4,0,868
14,5,0,928
14,6,0,882
14,7,0,1075
14,8,0,1246
14,9,0,1249
14,10,0,1208
14,11,0,1112
14,12,0,1138
15,1,0,1312
15,2,0,1494
15,3,0,1281
15,4,0,1344
15,5,0,1410
15,6,0,1529
15,7,0,1306
15,8,0,1281
15,9,0,1524
15,10,0,1610
15,11,0,1467
15,12,0,1287
16,1,0,1194
16,2,0,1043
16,3,0,996
16,4,0,1220
16,5,0,1338
16,6,0,1337
16,7,0,1364
16,8,0,1516
16,9,0,1226
16,10,0,1084
16,11,0,1282
16,12,0,1398
17,1,0,1513
17,2,0,1366
17,3,0,1248
17,4,0,992
17,5,0,811
17,6,0,768
17,7,0,510
17,8,0,474
17,9,0,330
17,10,0,430
17,11,0,254
17,12,0,20
18,1,0,0
18,2,0,0
18,3,0,0
18,4,0,0
18,5,0,0
18,6,0,204
18,7,0,70
18,8,0,358
18,9,0,366
18,10,0,732
18,11,0,905
18,12,0,1210
19,1,0,1302
19,2,0,1575
19,3,0,1994
19,4,0,1950
19,5,0,1905
19,6,0,2138
19,7,0,1994
19,8,0,2090
19,9,0,2106
19,10,0,2182
19,11,0,2394
19,12,0,2302
20,1,0,2264
20,2,0,2474
20,3,0,2746
20,4,0,3108
20,5,0,3266
20,6,0,3561
20,7,0,3373
20,8,0,3638
20,9,0,3872
20,10,0,4008
20,11,0,4301
20,12,0,4535
21,1,0,4833
21,2,0,5169
21,3,0,5381
21,4,0,5636
21,5,0,5550
21,6,0,5585
21,7,0,5492
21,8,0,5606
21,9,0,5642
21,10,0,5706
21,11,0,5643
21,12,0,5664
22,1,0,5477
22,2,0,5256
22,3,0,5552
22,4,0,5848
22,5,0,5847
22,6,0,5755
22,7,0,6012
22,8,0,5692
22,9,0,5727
22,10,0,5710
22,11,0,5394
22,12,0,5399
23,1,0,5222
23,2,0,5416
23,3,0,5067
23,4,0,4722
23,5,0,4620
23,6,0,4676
23,7,0,4585
23,8,0,4634
23,9,0,4746
23,10,0,4861
23,11,0,5046
23,12,0,5131
24,1,0,4915
24,2,0,4880
24,3,0,4607
24,4,0,4768
24,5,0,4858
24,6,0,4686
24,7,0,4368
24,8,0,4000
24,9,0,3651
24,10,0,3698
24,11,0,3434
24,12,0,3042
25,1,0,3056
25,2,0,2968
25,3,0,2522
25,4,0,2447
25,5,0,2089
25,6,0,1622
25,7,0,1240
25,8,0,1060
25,9,0,878
25,10,0,892
25,11,0,804
25,12,0,570
26,1,0,385
26,2,0,402
26,3,0,1
26,4,0,0
26,5,0,0
26,6,0,116
26,7,0,15
26,8,0,179
26,9,0,72
26,10,0,0
26,11,0,0
26,12,0,0
27,1,0,132
27,2,0,73
27,3,0,21
27,4,0,220
27,5,0,242
27,6,0,244
27,7,0,358
27,8,0,172
27,9,0,2
27,10,0,14
27,11,0,0
27,12,0,0
28,1,0,107
28,2,0,141
28,3,0,222
28,4,0,268
28,5,0,356
28,6,0,28
28,7,0,73
28,8,0,0
28,9,0,182
28,10,0,0
28,11,0,1
28,12,0,0
29,1,0,81
29,2,0,161
29,3,0,0
29,4,0,135
29,5,0,41
29,6,0,0
29,7,0,42
29,8,0,132
29,9,0,373
29,10,0,92
29,11,0,0
29,12,0,242
30,1,0,206
30,2,0,288
30,3,0,32
30,4,0,0
30,5,0,16
30,6,0,30
30,7,0,111
30,8,0,60
30,9,0,263
30,10,0,199
30,11,0,401
30,12,0,617
31,1,0,786
31,2,0,728
31,3,0,428
31,4,0,178
31,5,0,350
31,6,0,472
31,7,0,204
31,8,0,0
31,9,0,0
31,10,0,131
31,11,0,0
31,12,0,0
32,1,0,2
32,2,0,0
32,3,0,286
32,4,0,532
32,5,0,524
32,6,0,828
32,7,0,957
32,8,0,902
32,9,0,884
32,10,0,1041
32,11,0,1232
32,12,0,1505
33,1,0,1500
33,2,0,1630
33,3,0,1793
33,4,0,1536
33,5,0,1412
33,6,0,1342
33,7,0,1311
33,8,0,1185
33,9,0,1002
33,10,0,1016
33,11,0,1042
33,12,0,730
34,1,0,790
34,2,0,506
34,3,0,557
34,4,0,730
34,5,0,483
34,6,0,262
34,7,0,42
34,8,0,19
34,9,0,166
34,10,0,0
34,11,0,96
34,12,0,92
35,1,0,0
35,2,0,0
35,3,0,274
35,4,0,422
35,5,0,293
35,6,0,276
35,7,0,55
35,8,0,0
35,9,0,0
35,10,0,119
35,11,0,418
35,12,0,164
36,1,0,391
36,2,0,396
36,3,0,514
36,4,0,354
36,5,0,702
36,6,0,764
36,7,0,538
36,8,0,718
36,9,0,634
36,10,0,870
36,11,0,815
36,12,0,570
37,1,0,520
37,2,0,454
37,3,0,754
37,4,0,670
37,5,0,642
37,6,0,500
37,7,0,659
37,8,0,496
37,9,0,512
37,10,0,502
37,11,0,734
37,12,0,869
38,1,0,612
38,2,0,291
38,3,0,109
38,4,0,313
38,5,0,370
38,6,0,166
38,7,0,201
38,8,0,218
38,9,0,0
38,10,0,173
38,11,0,0
38,12,0,0
39,1,0,56
39,2,0,296
39,3,0,56
39,4,0,282
39,5,0,76
39,6,0,295
39,7,0,220
39,8,0,154
39,9,0,336
39,10,0,314
39,11,0,154
39,12,0,0
40,1,0,172
40,2,0,182
40,3,0,340
40,4,0,158
40,5,0,0
40,6,0,0
40,7,0,0
40,8,0,192
40,9,0,260
40,10,0,486
40,11,0,737
40,12,0,960
41,1,0,1080
41,2,0,850
41,3,0,1056
41,4,0,870
41,5,0,913
41,6,0,629
41,7,0,756
41,8,0,710
41,9,0,466
41,10,0,286
41,11,0,474
41,12,0,303
42,1,0,454
42,2,0,185
42,3,0,64
42,4,0,0
42,5,0,116
42,6,0,216
42,7,0,444
42,8,0,366
42,9,0,586
42,10,0,659
42,11,0,699
42,12,0,386
43,1,0,473
43,2,0,262
43,3,0,0
43,4,0,0
43,5,0,190
43,6,0,329
43,7,0,466
43,8,0,666
43,9,0,686
43,10,0,758
