year,#Morfigo,#Konforme,#Skibidi,#Poputah,#Elgibidi,#Noffinoffs
0,5,4,6,6,1,3
1,12,10,22,17,1,10
2,19,17,25,22,1,15
3,24,20,30,26,1,20
4,16,17,17,22,1,13
5,15,15,11,25,1,10
6,22,17,14,34,0,12
7,16,16,13,29,0,12
8,21,22,16,33,0,16
9,17,18,12,32,0,10
10,15,17,16,32,0,18
11,16,21,19,32,0,24
12,14,25,21,33,0,22
13,14,16,22,32,0,20
14,16,16,24,33,0,23
15,21,15,26,37,0,24
16,24,15,31,33,0,26
17,24,15,35,31,0,24
18,25,14,34,31,0,32
19,14,8,13,20,0,14
20,21,8,13,29,0,11
21,21,8,17,33,0,10
22,22,10,19,38,0,12
23,26,15,16,46,0,15
24,30,17,14,49,0,21
25,30,22,14,62,0,26
26,36,27,14,70,0,31
27,17,18,12,48,0,10
28,17,18,14,39,0,9
29,12,18,14,34,0,6
30,13,23,22,45,0,6
31,16,22,24,44,0,5
32,13,17,12,35,0,5
33,15,16,8,42,0,3
34,20,19,15,48,0,7
35,26,24,17,52,0,9
36,16,13,9,33,0,5
37,21,16,8,37,0,8
38,28,20,8,46,0,15
39,29,15,5,49,0,8
40,31,17,5,60,0,10
41,18,17,3,42,0,9
42,22,21,3,51,0,13
43,24,21,3,58,0,13
44,21,16,2,46,0,13
45,25,17,2,55,0,15
46,23,15,1,59,0,15
47,24,18,0,67,0,20
48,22,19,0,58,0,11
49,21,19,0,65,0,11
50,17,17,0,49,0,9
51,17,20,0,55,0,13
52,15,15,0,59,0,9
53,15,12,0,48,0,8
54,19,12,0,40,0,5
55,26,14,0,49,0,5
56,33,17,0,56,0,4
57,35,21,0,65,0,4
58,35,21,0,73,0,4
59,34,20,0,72,0,3
60,37,22,0,79,0,2
61,41,21,0,92,0,2
62,37,19,0,87,0,2
63,33,19,0,81,0,2
64,39,21,0,80,0,2
65,41,22,0,85,0,2
66,33,17,0,88,0,2
67,32,16,0,87,0,2
68,34,15,0,91,0,2
69,41,15,0,96,0,3
70,39,15,0,87,0,3
71,34,16,0,98,0,2
72,35,16,0,104,0,2
73,37,17,0,87,0,1
74,38,16,0,84,0,1
75,44,19,0,99,0,1
76,41,24,0,103,0,1
77,39,18,0,102,0,1
78,39,22,0,87,0,1
79,49,29,0,87,0,1
80,47,24,0,87,0,1
81,38,26,0,92,0,1
82,44,26,0,99,0,0
83,43,26,0,97,0,0
