year,cycle,food_available,nutrition_available
0,1,0,2193
0,2,0,2278
0,3,0,2436
0,4,0,2620
0,5,0,2890
0,6,0,2989
0,7,0,3107
0,8,0,3500
0,9,0,3586
0,10,0,3728
0,11,0,3955
0,12,0,3824
1,1,0,4004
1,2,0,3870
1,3,0,3724
1,4,0,3962
1,5,0,3904
1,6,0,3954
1,7,0,3774
1,8,0,3594
1,9,0,3411
1,10,0,3755
1,11,0,3550
1,12,0,3340
2,1,0,3235
2,2,0,3568
2,3,0,3360
2,4,0,3468
2,5,0,3270
2,6,0,3196
2,7,0,3374
2,8,0,3122
2,9,0,3272
2,10,0,2992
2,11,0,3014
2,12,0,3288
3,1,0,3244
3,2,0,3163
3,3,0,2990
3,4,0,2838
3,5,0,2538
3,6,0,2402
3,7,0,2595
3,8,0,2280
3,9,0,1960
3,10,0,1994
3,11,0,1906
3,12,0,1643
4,1,0,1650
4,2,0,1728
4,3,0,1519
4,4,0,1194
4,5,0,1162
4,6,0,1200
4,7,0,1219
4,8,0,1443
4,9,0,1078
4,10,0,1232
4,11,0,885
4,12,0,1010
5,1,0,696
5,2,0,602
5,3,0,241
5,4,0,218
5,5,0,52
5,6,0,0
5,7,0,0
5,8,0,0
5,9,0,136
5,10,0,329
5,11,0,401
5,12,0,233
6,1,0,134
6,2,0,91
6,3,0,358
6,4,0,339
6,5,0,64
6,6,0,360
6,7,0,649
6,8,0,361
6,9,0,272
6,10,0,0
6,11,0,0
6,12,0,223
7,1,0,226
7,2,0,421
7,3,0,326
7,4,0,632
7,5,0,627
7,6,0,557
7,7,0,859
7,8,0,854
7,9,0,778
7,10,0,1030
7,11,0,802
7,12,0,891
8,1,0,776
8,2,0,556
8,3,0,826
8,4,0,696
8,5,0,886
8,6,0,794
8,7,0,601
8,8,0,336
8,9,0,474
8,10,0,368
8,11,0,378
8,12,0,616
9,1,0,660
9,2,0,472
9,3,0,314
9,4,0,504
9,5,0,582
9,6,0,472
9,7,0,330
9,8,0,10
9,9,0,0
9,10,0,0
9,11,0,0
9,12,0,0
10,1,0,197
10,2,0,386
10,3,0,610
10,4,0,531
10,5,0,333
10,6,0,591
10,7,0,496
10,8,0,583
10,9,0,508
10,10,0,712
10,11,0,971
10,12,0,912
11,1,0,867
11,2,0,686
11,3,0,860
11,4,0,622
11,5,0,516
11,6,0,780
11,7,0,851
11,8,0,796
11,9,0,786
11,10,0,856
11,11,0,908
11,12,0,836
12,1,0,594
12,2,0,497
12,3,0,536
12,4,0,314
12,5,0,6
12,6,0,216
12,7,0,245
12,8,0,202
12,9,0,217
12,10,0,163
12,11,0,324
12,12,0,422
13,1,0,197
13,2,0,354
13,3,0,231
13,4,0,0
13,5,0,140
13,6,0,0
13,7,0,0
13,8,0,1
13,9,0,0
13,10,0,0
13,11,0,0
13,12,0,244
14,1,0,608
14,2,0,684
14,3,0,903
14,4,0,1174
14,5,0,1120
14,6,0,1326
14,7,0,1416
14,8,0,1724
14,9,0,1669
14,10,0,1693
14,11,0,1522
14,12,0,1338
15,1,0,1440
15,2,0,1599
15,3,0,1604
15,4,0,1852
15,5,0,2030
15,6,0,2328
15,7,0,2321
15,8,0,2252
15,9,0,2539
15,10,0,2650
15,11,0,2957
15,12,0,2828
16,1,0,3066
16,2,0,3388
16,3,0,3266
16,4,0,3529
16,5,0,3440
16,6,0,3761
16,7,0,3821
16,8,0,3945
16,9,0,4136
16,10,0,4130
16,11,0,4254
16,12,0,4570
17,1,0,4450
17,2,0,4806
17,3,0,4812
17,4,0,5092
17,5,0,5067
17,6,0,4844
17,7,0,4712
17,8,0,4780
17,9,0,4740
17,10,0,4659
17,11,0,4882
17,12,0,4832
18,1,0,4772
18,2,0,4798
18,3,0,5000
18,4,0,5274
18,5,0,5348
18,6,0,5334
18,7,0,5166
18,8,0,5368
18,9,0,5148
18,10,0,4994
18,11,0,4892
18,12,0,4868
19,1,0,5056
19,2,0,5176
19,3,0,4892
19,4,0,4878
19,5,0,4899
19,6,0,4564
19,7,0,4372
19,8,0,4442
19,9,0,4372
19,10,0,4165
19,11,0,4110
19,12,0,3812
20,1,0,3814
20,2,0,3878
20,3,0,3691
20,4,0,3846
20,5,0,3913
20,6,0,4082
20,7,0,4242
20,8,0,4036
20,9,0,4202
20,10,0,4351
20,11,0,4205
20,12,0,3916
21,1,0,4038
21,2,0,3793
21,3,0,3601
21,4,0,3372
21,5,0,3276
21,6,0,3376
21,7,0,3480
21,8,0,3288
21,9,0,2900
21,10,0,2402
21,11,0,1972
21,12,0,1860
22,1,0,1448
22,2,0,1288
22,3,0,964
22,4,0,732
22,5,0,514
22,6,0,28
22,7,0,0
22,8,0,0
22,9,0,0
22,10,0,0
22,11,0,0
22,12,0,132
23,1,0,277
23,2,0,196
23,3,0,286
23,4,0,228
23,5,0,0
23,6,0,0
23,7,0,0
23,8,0,0
23,9,0,148
23,10,0,19
23,11,0,0
23,12,0,0
24,1,0,0
24,2,0,0
24,3,0,0
24,4,0,0
24,5,0,33
24,6,0,69
24,7,0,0
24,8,0,18
24,9,0,0
24,10,0,46
24,11,0,266
24,12,0,158
25,1,0,148
25,2,0,0
25,3,0,225
25,4,0,140
25,5,0,0
25,6,0,199
25,7,0,86
25,8,0,0
25,9,0,186
25,10,0,476
25,11,0,388
25,12,0,76
26,1,0,0
26,2,0,196
26,3,0,110
26,4,0,60
26,5,0,47
26,6,0,0
26,7,0,246
26,8,0,335
26,9,0,90
26,10,0,0
26,11,0,200
26,12,0,316
27,1,0,237
27,2,0,146
27,3,0,0
27,4,0,0
27,5,0,288
27,6,0,594
27,7,0,885
27,8,0,720
27,9,0,622
27,10,0,734
27,11,0,460
27,12,0,130
28,1,0,354
28,2,0,140
28,3,0,352
28,4,0,294
28,5,0,388
28,6,0,7
28,7,0,0
28,8,0,0
28,9,0,168
28,10,0,116
28,11,0,0
28,12,0,204
29,1,0,363
29,2,0,222
29,3,0,0
29,4,0,0
29,5,0,196
29,6,0,220
29,7,0,383
29,8,0,394
29,9,0,726
29,10,0,872
29,11,0,866
29,12,0,842
30,1,0,1104
30,2,0,974
30,3,0,905
30,4,0,1026
30,5,0,1176
30,6,0,1278
30,7,0,1333
30,8,0,1034
30,9,0,1004
30,10,0,1037
30,11,0,855
30,12,0,520
31,1,0,298
31,2,0,436
31,3,0,394
31,4,0,104
31,5,0,0
31,6,0,38
31,7,0,0
31,8,0,292
31,9,0,370
31,10,0,121
31,11,0,0
31,12,0,0
32,1,0,256
32,2,0,190
32,3,0,0
32,4,0,0
32,5,0,226
32,6,0,316
32,7,0,510
32,8,0,481
32,9,0,744
32,10,0,824
32,11,0,578
32,12,0,500
33,1,0,322
33,2,0,217
33,3,0,352
33,4,0,326
33,5,0,554
33,6,0,248
33,7,0,0
33,8,0,0
33,9,0,252
33,10,0,354
33,11,0,488
33,12,0,310
34,1,0,80
34,2,0,139
34,3,0,0
34,4,0,0
34,5,0,0
34,6,0,176
34,7,0,162
34,8,0,400
34,9,0,272
34,10,0,218
34,11,0,475
34,12,0,592
35,1,0,682
35,2,0,548
35,3,0,624
35,4,0,664
35,5,0,646
35,6,0,794
35,7,0,652
35,8,0,406
35,9,0,439
35,10,0,378
35,11,0,494
35,12,0,477
36,1,0,404
36,2,0,576
36,3,0,490
36,4,0,744
36,5,0,474
36,6,0,715
36,7,0,560
36,8,0,638
36,9,0,360
36,10,0,377
36,11,0,408
36,12,0,392
37,1,0,108
37,2,0,248
37,3,0,426
37,4,0,675
37,5,0,592
37,6,0,616
37,7,0,608
37,8,0,762
37,9,0,962
37,10,0,816
37,11,0,675
37,12,0,550
38,1,0,591
38,2,0,660
38,3,0,584
38,4,0,594
38,5,0,714
38,6,0,844
38,7,0,932
38,8,0,1061
38,9,0,1254
38,10,0,1332
38,11,0,1410
38,12,0,1284
39,1,0,1308
39,2,0,1388
39,3,0,1613
39,4,0,1594
39,5,0,1738
39,6,0,1722
39,7,0,1920
39,8,0,1642
39,9,0,1444
39,10,0,1488
39,11,0,1200
39,12,0,810
40,1,0,542
40,2,0,272
40,3,0,389
40,4,0,363
40,5,0,278
40,6,0,295
40,7,0,299
40,8,0,127
40,9,0,28
40,10,0,134
40,11,0,0
40,12,0,2
41,1,0,134
41,2,0,0
41,3,0,0
41,4,0,0
41,5,0,66
41,6,0,168
41,7,0,285
41,8,0,602
41,9,0,404
41,10,0,144
41,11,0,60
41,12,0,0
42,1,0,0
42,2,0,0
42,3,0,0
42,4,0,326
42,5,0,299
42,6,0,484
42,7,0,286
42,8,0,440
42,9,0,220
42,10,0,547
42,11,0,718
42,12,0,835
43,1,0,730
43,2,0,597
43,3,0,746
43,4,0,643
43,5,0,418
43,6,0,541
43,7,0,578
43,8,0,570
43,9,0,652
43,10,0,622
43,11,0,418
43,12,0,344
44,1,0,89
44,2,0,0
44,3,0,0
44,4,0,0
44,5,0,377
44,6,0,472
44,7,0,820
44,8,0,680
44,9,0,639
44,10,0,550
44,11,0,560
44,12,0,588
45,1,0,731
45,2,0,777
45,3,0,806
45,4,0,575
45,5,0,660
45,6,0,768
45,7,0,981
45,8,0,1186
45,9,0,1307
45,10,0,1168
45,11,0,1095
45,12,0,1414
46,1,0,1440
46,2,0,1348
46,3,0,1120
46,4,0,1084
46,5,0,1305
46,6,0,1426
46,7,0,1687
46,8,0,1631
46,9,0,1597
46,10,0,1572
46,11,0,1482
46,12,0,1282
47,1,0,1491
47,2,0,1606
47,3,0,1774
47,4,0,1920
47,5,0,2196
47,6,0,2152
47,7,0,2193
47,8,0,2166
47,9,0,2113
47,10,0,2192
47,11,0,2004
47,12,0,1858
48,1,0,1882
48,2,0,1662
48,3,0,1626
48,4,0,1616
48,5,0,1722
48,6,0,1586
48,7,0,1784
48,8,0,1940
48,9,0,1778
48,10,0,1812
48,11,0,2026
48,12,0,2250
49,1,0,2517
49,2,0,2502
49,3,0,2315
49,4,0,2112
49,5,0,1954
49,6,0,2007
49,7,0,2058
49,8,0,2090
49,9,0,2218
49,10,0,2442
49,11,0,2156
49,12,0,2378
50,1,0,2262
50,2,0,2150
50,3,0,2098
50,4,0,2118
50,5,0,1946
50,6,0,1878
50,7,0,2024
50,8,0,1984
50,9,0,1601
50,10,0,1656
50,11,0,1859
50,12,0,1816
51,1,0,1629
51,2,0,1332
51,3,0,1350
51,4,0,1326
51,5,0,1310
51,6,0,1287
51,7,0,1474
51,8,0,1550
51,9,0,1226
51,10,0,1032
51,11,0,1044
51,12,0,1189
52,1,0,948
52,2,0,990
52,3,0,942
52,4,0,1002
52,5,0,791
52,6,0,461
52,7,0,221
52,8,0,15
52,9,0,49
52,10,0,14
52,11,0,62
52,12,0,0
53,1,0,0
53,2,0,0
53,3,0,319
53,4,0,438
53,5,0,712
53,6,0,494
53,7,0,384
53,8,0,552
53,9,0,696
53,10,0,988
53,11,0,1157
53,12,0,922
54,1,0,1069
54,2,0,1069
54,3,0,924
54,4,0,782
54,5,0,578
54,6,0,662
54,7,0,419
54,8,0,645
54,9,0,384
54,10,0,485
54,11,0,513
54,12,0,596
55,1,0,412
55,2,0,372
55,3,0,232
55,4,0,293
55,5,0,34
55,6,0,249
55,7,0,272
55,8,0,0
55,9,0,0
55,10,0,0
55,11,0,140
55,12,0,28
56,1,0,304
56,2,0,434
56,3,0,710
56,4,0,1025
56,5,0,1203
56,6,0,1454
56,7,0,1180
56,8,0,1323
56,9,0,1592
56,10,0,1690
56,11,0,1714
56,12,0,1966
57,1,0,2069
57,2,0,2257
57,3,0,2490
57,4,0,2650
57,5,0,2668
57,6,0,2864
57,7,0,2850
57,8,0,2871
57,9,0,3011
57,10,0,3040
57,11,0,3268
57,12,0,3377
58,1,0,3526
58,2,0,3745
58,3,0,3772
58,4,0,3692
58,5,0,3712
58,6,0,3812
58,7,0,3749
58,8,0,3721
58,9,0,3805
58,10,0,3690
58,11,0,3598
58,12,0,3458
59,1,0,3480
59,2,0,3428
59,3,0,3450
59,4,0,3442
59,5,0,3593
59,6,0,3548
59,7,0,3694
59,8,0,3630
59,9,0,3502
59,10,0,3558
59,11,0,3513
59,12,0,3505
60,1,0,3579
60,2,0,3482
60,3,0,3409
60,4,0,3436
60,5,0,3551
60,6,0,3530
60,7,0,3477
60,8,0,3512
60,9,0,3561
60,10,0,3382
60,11,0,3378
60,12,0,3428
61,1,0,3360
61,2,0,3350
61,3,0,3186
61,4,0,3135
61,5,0,3136
61,6,0,2922
61,7,0,2920
61,8,0,2708
61,9,0,2588
61,10,0,2316
61,11,0,2170
61,12,0,1914
62,1,0,1846
62,2,0,1736
62,3,0,1600
62,4,0,1344
62,5,0,1236
62,6,0,1205
62,7,0,1119
62,8,0,908
62,9,0,830
62,10,0,738
62,11,0,579
62,12,0,489
63,1,0,282
63,2,0,218
63,3,0,16
63,4,0,0
63,5,0,0
63,6,0,0
63,7,0,0
63,8,0,0
63,9,0,8
63,10,0,94
63,11,0,127
63,12,0,33
64,1,0,0
64,2,0,34
64,3,0,142
64,4,0,0
64,5,0,0
64,6,0,0
64,7,0,74
64,8,0,1
64,9,0,20
64,10,0,109
64,11,0,171
64,12,0,221
65,1,0,254
65,2,0,57
65,3,0,0
65,4,0,0
65,5,0,2
65,6,0,91
65,7,0,146
65,8,0,0
65,9,0,0
65,10,0,56
65,11,0,113
65,12,0,160
66,1,0,1
66,2,0,4
66,3,0,66
66,4,0,0
66,5,0,61
66,6,0,10
66,7,0,4
66,8,0,0
66,9,0,1
66,10,0,0
66,11,0,0
66,12,0,0
67,1,0,0
67,2,0,51
67,3,0,0
67,4,0,0
67,5,0,0
67,6,0,0
67,7,0,56
67,8,0,70
67,9,0,0
67,10,0,8
67,11,0,0
67,12,0,0
68,1,0,161
68,2,0,180
68,3,0,199
68,4,0,352
68,5,0,310
68,6,0,344
68,7,0,296
68,8,0,306
68,9,0,282
68,10,0,184
68,11,0,127
68,12,0,0
69,1,0,88
69,2,0,101
69,3,0,26
69,4,0,74
69,5,0,70
69,6,0,89
69,7,0,0
69,8,0,0
69,9,0,64
69,10,0,86
69,11,0,0
69,12,0,0
70,1,0,0
70,2,0,0
70,3,0,137
70,4,0,230
70,5,0,228
70,6,0,262
70,7,0,321
70,8,0,386
70,9,0,448
70,10,0,319
70,11,0,264
70,12,0,312
71,1,0,221
71,2,0,42
71,3,0,80
71,4,0,6
71,5,0,0
71,6,0,0
71,7,0,0
71,8,0,0
71,9,0,0
71,10,0,0
71,11,0,0
71,12,0,0
72,1,0,0
72,2,0,0
72,3,0,0
72,4,0,33
72,5,0,64
72,6,0,0
