year,#Morfigo,#Konforme,#Skibidi,#Poputah,#Elgibidi,#Noffinoffs
0,7,1,6,3,3,5
1,13,1,19,3,3,12
2,19,1,32,6,3,21
3,25,1,41,6,3,27
4,30,1,46,8,3,28
5,36,1,51,11,3,34
6,24,1,34,9,3,30
7,25,1,34,7,3,30
8,27,1,39,7,4,39
9,31,1,41,10,4,41
10,28,1,30,12,5,37
11,29,1,29,13,7,40
12,29,1,29,15,7,46
13,33,0,28,16,7,50
14,26,0,21,9,7,31
15,27,0,20,8,7,31
16,31,0,20,10,6,32
17,38,0,20,10,5,31
18,45,0,20,14,4,38
19,52,0,27,15,4,40
20,53,0,32,17,4,45
21,60,0,41,19,4,58
22,69,0,48,21,4,74
23,57,0,42,20,4,50
24,40,0,31,13,4,52
25,32,0,20,9,2,47
26,38,0,21,9,2,65
27,30,0,21,11,2,66
28,32,0,24,16,2,73
29,30,0,18,14,1,58
30,33,0,14,12,1,63
31,35,0,18,14,1,88
32,25,0,14,13,1,65
33,33,0,16,14,1,65
34,35,0,16,16,1,75
35,20,0,4,14,1,55
36,21,0,4,18,1,65
37,24,0,4,18,1,77
38,27,0,4,23,1,87
39,30,0,3,22,1,98
40,34,0,3,26,1,101
41,37,0,3,25,1,103
42,18,0,2,22,1,74
43,19,0,2,21,1,53
44,21,0,2,21,1,62
45,21,0,1,16,1,54
46,23,0,1,18,1,65
47,26,0,1,19,1,70
48,27,0,0,18,1,78
49,24,0,0,19,1,84
50,29,0,0,24,1,93
51,35,0,0,22,1,93
52,32,0,0,24,1,98
53,29,0,0,26,0,92
54,20,0,0,22,0,64
55,23,0,0,23,0,73
56,21,0,0,25,0,68
57,24,0,0,23,0,87
58,28,0,0,25,0,108
59,33,0,0,26,0,114
60,35,0,0,27,0,124
61,40,0,0,32,0,136
62,39,0,0,32,0,162
63,39,0,0,37,0,187
64,28,0,0,37,0,137
65,32,0,0,36,0,145
66,35,0,0,38,0,136
67,37,0,0,36,0,126
68,32,0,0,30,0,110
69,40,0,0,36,0,129
70,37,0,0,34,0,122
71,47,0,0,38,0,133
72,40,0,0,38,0,108
73,37,0,0,40,0,133
74,38,0,0,35,0,126
75,39,0,0,37,0,131
76,47,0,0,33,0,127
77,46,0,0,36,0,145
78,48,0,0,37,0,159
79,45,0,0,36,0,137
80,45,0,0,40,0,150
81,45,0,0,43,0,175
82,38,0,0,45,0,145
83,41,0,0,29,0,166
84,49,0,0,36,0,163
85,44,0,0,34,0,160
86,44,0,0,34,0,166
87,38,0,0,32,0,140
88,40,0,0,32,0,173
89,41,0,0,39,0,142
90,44,0,0,39,0,129
91,49,0,0,41,0,152
92,42,0,0,36,0,124
93,42,0,0,42,0,146
94,42,0,0,38,0,151
95,35,0,0,35,0,167
96,37,0,0,35,0,166
97,41,0,0,34,0,179
98,37,0,0,32,0,146
99,46,0,0,33,0,160
100,46,0,0,38,0,144
101,52,0,0,35,0,173
102,53,0,0,36,0,160
103,48,0,0,36,0,150
104,48,0,0,33,0,172
105,47,0,0,33,0,188
106,45,0,0,35,0,157
107,43,0,0,37,0,163
108,37,0,0,36,0,147
109,40,0,0,44,0,174
110,36,0,0,50,0,174
111,38,0,0,49,0,173
112,36,0,0,46,0,156
113,35,0,0,40,0,169
114,42,0,0,44,0,170
115,39,0,0,40,0,143
116,40,0,0,39,0,153
117,42,0,0,30,0,154
118,41,0,0,34,0,134
119,44,0,0,38,0,166
120,44,0,0,39,0,161
121,40,0,0,38,0,146
122,44,0,0,44,0,149
123,41,0,0,45,0,136
124,35,0,0,46,0,141
125,35,0,0,38,0,143
126,33,0,0,48,0,162
127,37,0,0,43,0,160
128,29,0,0,42,0,153
129,34,0,0,49,0,186
130,29,0,0,52,0,175
131,28,0,0,42,0,131
132,28,0,0,50,0,138
133,38,0,0,64,0,149
134,30,0,0,50,0,152
135,25,0,0,53,0,136
136,33,0,0,56,0,121
137,31,0,0,50,0,128
138,34,0,0,58,0,150
139,33,0,0,50,0,145
140,32,0,0,48,0,138
141,29,0,0,46,0,141
142,23,0,0,52,0,140
143,28,0,0,48,0,133
144,31,0,0,48,0,141
145,30,0,0,52,0,137
146,31,0,0,48,0,160
147,28,0,0,52,0,145
148,31,0,0,58,0,154
149,28,0,0,53,0,131
150,34,0,0,61,0,161
151,48,0,0,83,0,240
152,67,0,0,99,0,337
153,77,0,0,114,0,397
154,81,0,0,132,0,471
155,90,0,0,138,0,516
156,99,0,0,148,0,593
157,104,0,0,151,0,642
158,109,0,0,165,0,685
159,114,0,0,175,0,733
160,121,0,0,187,0,767
161,120,0,0,205,0,805
162,127,0,0,208,0,865
163,128,0,0,220,0,914
164,135,0,0,219,0,958
165,152,0,0,222,0,991
166,158,0,0,222,0,1036
