year,cycle,food_available,nutrition_available
0,1,0,2070
0,2,0,2075
0,3,0,2092
0,4,0,2086
0,5,0,2062
0,6,0,2046
0,7,0,2046
0,8,0,1994
0,9,0,1981
0,10,0,1929
0,11,0,1884
0,12,0,1870
1,1,0,1820
1,2,0,1775
1,3,0,1722
1,4,0,1686
1,5,0,1652
1,6,0,1601
1,7,0,1536
1,8,0,1498
1,9,0,1450
1,10,0,1379
1,11,0,1298
1,12,0,1214
2,1,0,1178
2,2,0,1133
2,3,0,1078
2,4,0,1018
2,5,0,930
2,6,0,838
2,7,0,744
2,8,0,675
2,9,0,627
2,10,0,538
2,11,0,449
2,12,0,348
3,1,0,300
3,2,0,237
3,3,0,154
3,4,0,57
3,5,0,1
3,6,0,0
3,7,0,0
3,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,0,2
4,1,0,1
4,2,0,1
4,3,0,3
4,4,0,16
4,5,0,1
4,6,0,1
4,7,0,1
4,8,0,32
4,9,0,28
4,10,0,54
4,11,0,54
4,12,0,38
5,1,0,29
5,2,0,27
5,3,0,13
5,4,0,1
5,5,0,1
5,6,0,1
5,7,13,18
5,8,0,46
5,9,0,73
5,10,0,70
5,11,0,59
5,12,4,86
6,1,0,89
6,2,0,78
6,3,0,90
6,4,0,82
6,5,0,92
6,6,6,123
6,7,0,136
6,8,0,129
6,9,0,120
6,10,2,125
6,11,0,126
6,12,0,116
7,1,0,113
7,2,8,140
7,3,0,132
7,4,0,151
7,5,0,158
7,6,0,174
7,7,0,180
7,8,3,200
7,9,0,198
7,10,0,228
7,11,12,249
7,12,13,265
8,1,0,282
8,2,13,303
8,3,0,332
8,4,0,332
8,5,0,333
8,6,0,334
8,7,0,329
8,8,0,330
8,9,0,319
8,10,25,330
8,11,0,363
8,12,2,394
9,1,0,383
9,2,0,382
9,3,0,396
9,4,0,399
9,5,13,424
9,6,0,431
9,7,0,433
9,8,0,434
9,9,0,455
9,10,0,463
9,11,0,491
9,12,24,501
10,1,0,528
10,2,0,539
10,3,0,531
10,4,0,569
10,5,15,583
10,6,0,590
10,7,0,579
10,8,0,581
10,9,0,579
10,10,0,580
10,11,2,601
10,12,0,604
11,1,3,623
11,2,25,636
11,3,32,657
11,4,34,668
11,5,17,685
11,6,13,697
11,7,29,708
11,8,51,713
11,9,43,722
11,10,24,739
11,11,50,753
11,12,71,760
12,1,40,774
12,2,46,778
12,3,31,796
12,4,36,814
12,5,59,823
12,6,53,834
12,7,66,854
12,8,50,860
12,9,61,875
12,10,39,882
12,11,52,897
12,12,28,915
13,1,0,934
13,2,19,947
13,3,3,968
13,4,2,983
13,5,0,996
13,6,22,1005
13,7,26,1030
13,8,1,1039
13,9,0,1032
13,10,11,1040
13,11,14,1048
13,12,11,1060
14,1,4,1078
14,2,0,1083
14,3,9,1102
14,4,20,1125
14,5,0,1128
14,6,0,1131
14,7,0,1124
14,8,13,1137
14,9,24,1145
14,10,35,1162
14,11,64,1170
14,12,68,1182
15,1,81,1188
15,2,107,1190
15,3,90,1204
15,4,75,1211
15,5,102,1214
15,6,98,1218
15,7,98,1222
15,8,91,1233
15,9,117,1234
15,10,120,1244
15,11,158,1246
15,12,147,1251
16,1,160,1251
16,2,205,1251
16,3,247,1251
16,4,248,1251
16,5,276,1251
16,6,284,1251
16,7,330,1251
16,8,327,1251
16,9,351,1251
16,10,364,1251
16,11,380,1251
16,12,403,1251
17,1,419,1251
17,2,455,1251
