Fernando (Leisure)
Parenting - Alice (Chores/Resp)
Eating/Cooking/Drinking (Bio)
Parenting (Chores/Resp)
Driving (Chores/Resp)
Relationships - Jojo (Social)
Sleep (Bio)
Hygene (Bio)
IVS - Admin (IVS)
VGs - FM21 (Leisure)
Relationships - Fortnite (Social)
Direitinha (Leisure)
Cleaning (Chores/Resp)
VGs - F1 (Leisure)
VGs - Zelda (Leisure)
Eating/Cooking/Drinking (Bio)
Driving (Chores/Resp)
Fernando (Leisure)
Parenting (Chores/Resp)
hygene (Bio)
Relationships - Jojo (Social)
Sleep (Bio)
IVS - Admin (IVS)
 (Wasted Time)
Domestic Admin (Chores/Resp)
Cleaning (Chores/Resp)
VGs - FM21 (Leisure)
metelao (Leisure)
Hygene (Bio)
VGs - Minecraft (Leisure)
