year,cycle,food_available,nutrition_available
0,1,0,2178
0,2,0,2097
0,3,0,2038
0,4,0,2246
0,5,0,2251
0,6,0,2692
0,7,0,2960
0,8,0,2848
0,9,0,2890
0,10,0,2884
0,11,0,3041
0,12,0,3010
1,1,0,3148
1,2,0,3498
1,3,0,3776
1,4,0,3962
1,5,0,3916
1,6,0,4078
1,7,0,3944
1,8,0,4308
1,9,0,4319
1,10,0,4567
1,11,0,4595
1,12,0,4742
2,1,0,4680
2,2,0,4724
2,3,0,4589
2,4,0,4852
2,5,0,4987
2,6,0,5146
2,7,0,5128
2,8,0,4970
2,9,0,4864
2,10,0,4789
2,11,0,4458
2,12,0,4370
3,1,0,4618
3,2,0,4388
3,3,0,4476
3,4,0,4634
3,5,0,4816
3,6,0,4644
3,7,0,4602
3,8,0,4384
3,9,0,4514
3,10,0,4142
3,11,0,4322
3,12,0,4167
4,1,0,3876
4,2,0,3763
4,3,0,3904
4,4,0,3975
4,5,0,3685
4,6,0,3332
4,7,0,2940
4,8,0,2814
4,9,0,2933
4,10,0,2782
4,11,0,2591
4,12,0,2541
5,1,0,2337
5,2,0,2131
5,3,0,2242
5,4,0,1931
5,5,0,1510
5,6,0,1087
5,7,0,996
5,8,0,604
5,9,0,356
5,10,0,216
5,11,0,22
5,12,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,6,0,102
6,7,0,189
6,8,0,430
6,9,0,163
6,10,0,133
6,11,0,209
6,12,0,100
7,1,0,2
7,2,0,252
7,3,0,224
7,4,0,298
7,5,0,434
7,6,0,124
7,7,0,345
7,8,0,388
7,9,0,208
7,10,0,0
7,11,0,0
7,12,0,248
8,1,0,378
8,2,0,457
8,3,0,234
8,4,0,512
8,5,0,290
8,6,0,190
8,7,0,413
8,8,0,134
8,9,0,240
8,10,0,380
8,11,0,294
8,12,0,325
9,1,0,340
9,2,0,598
9,3,0,265
9,4,0,402
9,5,0,409
9,6,0,604
9,7,0,806
9,8,0,628
9,9,0,273
9,10,0,131
9,11,0,0
9,12,0,0
10,1,0,0
10,2,0,0
10,3,0,304
10,4,0,194
10,5,0,530
10,6,0,590
10,7,0,660
10,8,0,644
10,9,0,982
10,10,0,1140
10,11,0,1342
10,12,0,1639
11,1,0,1552
11,2,0,1406
11,3,0,1753
11,4,0,1963
11,5,0,1764
11,6,0,1992
11,7,0,1772
11,8,0,2002
11,9,0,2202
11,10,0,2320
11,11,0,2662
11,12,0,2468
12,1,0,2320
12,2,0,2444
12,3,0,2568
12,4,0,2795
12,5,0,3136
12,6,0,3357
12,7,0,3451
12,8,0,3607
12,9,0,3876
12,10,0,4080
12,11,0,4356
12,12,0,4476
13,1,0,4796
13,2,0,5146
13,3,0,5224
13,4,0,5321
13,5,0,5569
13,6,0,5726
13,7,0,5877
13,8,0,6090
13,9,0,6330
13,10,0,6574
13,11,0,6750
13,12,0,6870
14,1,0,6980
14,2,0,7245
14,3,0,7484
14,4,0,7691
14,5,0,7836
14,6,0,7968
14,7,0,8020
14,8,0,8274
14,9,0,8342
14,10,0,8478
14,11,0,8642
14,12,0,8773
15,1,0,8929
15,2,0,9212
15,3,0,9258
15,4,0,9458
15,5,0,9587
15,6,0,9834
15,7,0,10090
15,8,0,10349
15,9,0,10446
15,10,0,10513
15,11,0,10755
15,12,0,10830
16,1,0,10987
16,2,0,11056
16,3,0,11114
16,4,0,11367
16,5,0,11632
16,6,0,11897
16,7,0,12061
16,8,0,12084
16,9,0,12181
16,10,0,12412
16,11,0,12553
16,12,0,12640
17,1,0,12822
17,2,0,12998
17,3,0,13232
17,4,0,13384
17,5,0,13574
17,6,0,13814
17,7,0,13884
17,8,0,13942
17,9,0,14008
17,10,0,14220
17,11,0,14376
17,12,0,14618
18,1,0,14844
18,2,0,15126
18,3,0,15376
18,4,0,15396
18,5,0,15592
18,6,0,15583
18,7,0,15603
18,8,0,15808
18,9,0,15794
18,10,0,15808
18,11,0,15864
18,12,0,16110
19,1,0,16332
19,2,0,16363
19,3,0,16584
19,4,0,16734
19,5,0,16850
19,6,0,16885
19,7,0,17060
19,8,0,17218
19,9,0,17229
19,10,0,17340
19,11,0,17386
19,12,0,17542
20,1,0,17594
20,2,0,17730
20,3,0,17869
20,4,0,18029
20,5,0,17999
20,6,0,17974
20,7,0,18049
20,8,0,18045
20,9,0,18205
20,10,0,18254
20,11,0,18270
20,12,0,18236
21,1,0,18196
21,2,0,18381
21,3,0,18476
21,4,0,18538
21,5,0,18524
21,6,0,18470
21,7,0,18392
21,8,0,18536
21,9,0,18484
21,10,0,18438
21,11,0,18560
21,12,0,18496
22,1,0,18518
22,2,0,18406
22,3,0,18382
22,4,0,18195
22,5,0,18193
22,6,0,17994
22,7,0,18028
22,8,0,17985
22,9,0,17828
22,10,0,17812
22,11,0,17567
22,12,0,17602
23,1,0,17491
23,2,0,17420
23,3,0,17478
23,4,0,17337
23,5,0,17164
23,6,0,17039
23,7,0,16908
23,8,0,16694
23,9,0,16501
23,10,0,16450
23,11,0,16236
23,12,0,16153
24,1,0,15902
24,2,0,15688
24,3,0,15470
24,4,0,15182
24,5,0,15101
24,6,0,14944
24,7,0,14820
24,8,0,14582
24,9,0,14287
24,10,0,14076
24,11,0,13968
24,12,0,13858
