year,#Morfigo,#Konforme,#Skibidi,#Poputah,#Elgibidi,#Noffinoffs
0,6,5,3,4,3,4
1,14,14,7,5,3,11
2,25,23,13,8,3,18
3,34,30,17,17,3,20
4,44,32,20,18,3,25
5,49,40,24,22,6,29
6,50,45,24,26,4,26
7,32,28,17,20,3,19
8,28,27,15,19,4,16
9,31,29,20,21,4,21
10,31,20,13,20,3,17
11,25,15,8,14,2,11
12,27,17,8,14,2,17
13,29,17,7,16,2,19
14,35,15,6,18,2,24
15,37,15,6,20,2,25
16,38,14,5,21,1,30
17,37,14,5,25,1,31
18,38,13,5,25,1,33
19,40,14,5,26,1,35
20,44,19,4,26,1,39
21,53,23,4,30,1,40
22,61,29,4,33,1,46
23,67,33,4,36,1,54
24,75,36,4,38,1,62
