Date,AnimalID,StartTime,EndTime,TotalResponses,ReinforcedResponses,IRT_List
08/26/25,1,8:10:48,8:21:08,45.000,30.000,41.100;75.100;0.200;143.100;0.200;0.100;440.100;0.200;78.100;0.200;66.100;0.200;73.100;0.200;567.100;0.200;85.100;0.200;6.100;104.100;0.200;78.100;0.200;135.100;0.200;15.100;79.100;0.200;13.100;62.100;0.200;85.100;0.200;309.100;0.200;79.100;0.200;6.100;94.100;0.200;66.100;0.200;498.100;0.200;50.100;25.100;12.100;891.100;0.200;121.100;0.200;102.100;0.200;75.100;0.200;71.100;0.200;603.100;0.200;42.100;58.100;0.200;27.100;19.100;26.100;29.100;49.100;4.100;2.100;369.100;0.200;182.100;0.200;90.100;0.200
08/26/25,2,8:10:48,8:21:08,20.000,16.000,628.100;27.100;334.100;0.200;791.100;0.200;368.100;0.200;249.100;0.200;10.100;185.100;0.200;786.100;0.200;479.100;0.200;117.100;0.200;258.100;0.200;483.100;0.200;128.100;0.200;243.100;0.200;137.100;0.200;6.100;21.100;434.100;0.200;432.100;0.200
08/26/25,3,8:10:48,8:21:08,36.000,27.000,192.100;133.100;0.200;4.100;127.100;0.200;318.100;0.200;3.100;45.100;27.100;57.100;0.200;64.100;0.200;79.100;0.200;127.100;0.200;108.100;0.200;14.100;513.100;0.200;71.100;0.200;1.100;78.100;0.200;113.100;0.200;61.100;0.200;76.100;0.200;70.100;0.200;2.100;91.100;0.200;77.100;0.200;74.100;0.200;320.100;0.200;212.100;0.200;119.100;0.200;39.100;15.100;56.100;0.200;214.100;0.200;89.100;0.200;111.100;0.200;100.100;0.200
08/26/25,4,8:10:48,8:21:08,26.000,22.000,160.100;5.100;83.100;0.200;268.100;0.200;293.100;0.200;157.100;0.200;13.100;331.100;0.200;115.100;0.200;806.100;0.200;281.100;0.200;78.100;0.200;90.100;0.200;97.100;0.200;115.100;0.200;117.100;0.200;3.100;112.100;0.200;17.100;715.100;0.200;140.100;0.200;357.100;0.200;111.100;0.200;316.100;0.200;343.100;0.200;979.100;0.200
08/26/25,5,8:10:48,8:21:08,51.000,35.000,92.100;82.100;0.200;49.100;35.100;1.100;28.100;29.100;47.100;220.100;0.200;99.100;0.200;376.100;0.200;285.100;0.200;107.100;0.200;148.100;0.200;70.100;0.200;100.100;0.200;369.100;0.200;87.100;0.200;75.100;0.200;2.100;47.100;25.100;30.100;31.100;7.100;4.100;69.100;0.200;67.100;0.200;224.100;0.200;92.100;0.200;113.100;0.200;71.100;0.200;133.100;0.200;81.100;0.200;861.100;0.200;12.100;4.100;124.100;0.200;334.100;0.200;70.100;0.200;93.100;0.200;63.100;0.200;62.100;0.200;96.100;0.200;96.100;0.200;72.100;0.200;0.100;14.100;77.100;0.200;83.100;0.200;475.100;0.200;170.100;0.200
08/26/25,6,8:10:48,8:21:08,17.000,14.000,476.100;295.100;0.200;4.100;989.100;0.200;204.100;0.200;424.100;0.200;315.100;0.200;942.100;0.200;259.100;0.200;30.100;296.100;0.200;228.100;0.200;4.100;98.100;0.200;392.100;0.200;241.100;0.200;867.100;0.200
08/26/25,1,8:25:58,8:29:59,14.000,10.000,43.100;67.100;0.200;75.100;0.200;83.100;0.200;106.100;0.200;61.100;0.200;63.100;0.200;627.100;0.200;38.100;24.100;5.100;401.100;0.200;629.100;0.200;35.100
08/26/25,2,8:25:58,8:29:59,11.000,8.000,168.100;91.100;0.200;17.100;142.100;0.200;640.100;0.200;1.100;8.100;125.100;0.200;407.100;0.200;409.100;0.200;168.100;0.200
08/26/25,3,8:25:58,8:29:59,13.000,13.000,325.100;89.100;0.200;96.100;0.200;81.100;0.200;119.100;0.200;78.100;0.200;96.100;0.200;82.100;0.200;126.100;0.200;112.100;0.200;101.100;0.200;133.100;0.200;567.100;0.200
08/26/25,4,8:25:58,8:29:59,18.000,12.000,203.100;127.100;0.200;120.100;0.200;3.100;1.100;0.100;1.100;80.100;0.200;11.100;93.100;0.200;120.100;0.200;111.100;0.200;6.100;133.100;0.200;89.100;0.200;139.100;0.200;109.100;0.200;126.100;0.200
08/26/25,5,8:25:58,8:29:59,19.000,7.000,443.100;36.100;19.100;35.100;12.100;37.100;25.100;6.100;11.100;84.100;0.200;82.100;0.200;89.100;0.200;50.100;26.100;26.100;12.100;930.100;0.200;134.100;0.200;112.100;0.200
08/26/25,6,8:25:58,8:29:59,11.000,7.000,358.100;106.100;0.200;10.100;199.100;0.200;14.100;290.100;0.200;183.100;0.200;515.100;0.200;265.100;0.200;24.100;21.100
08/26/25,1,8:36:30,9:36:37,147.000,50.000,128.100;948.100;0.200;343.100;0.200;90.100;0.200;78.100;0.200;102.100;0.200;49.100;19.100;24.100;25.100;3.100;1186.100;0.200;278.100;0.200;1613.100;0.200;42.100;8.100;444.100;0.200;1160.100;0.200;19.100;7.100;3.100;2.100;10.100;4.100;1.100;1.100;8.100;1.100;27.100;5.100;22.100;3.100;3.100;1.100;1.100;3.100;13.100;4.100;0.100;4.100;9.100;11.100;15.100;24.100;670.100;0.200;150.100;0.200;0.100;1.100;23.100;715.100;0.200;26.100;17.100;1388.100;0.200;157.100;0.200;20.100;4.100;617.100;0.200;1897.100;0.200;1.100;15.100;25.100;9.100;7.100;1017.100;0.200;2123.100;0.200;33.100;17.100;5.100;9.100;19.100;4.100;177.100;0.200;67.100;0.200;17.100;131.100;0.200;905.100;0.200;110.100;0.200;124.100;0.200;22.100;3.100;20.100;7.100;4.100;1.100;999.100;0.200;14.100;1094.100;0.200;33.100;30.100;3.100;1513.100;0.200;60.100;0.200;975.100;0.200;32.100;60.100;0.200;30.100;94.100;0.200;0.100;36.100;5.100;2.100;2.100;1.100;10.100;2.100;8.100;21.100;5.100;12.100;778.100;0.200;36.100;274.100;0.200;11.100;2.100;555.100;0.200;97.100;0.200;10.100;9.100;4.100;11.100;1913.100;0.200;19.100;5.100;4.100;11.100;51.100;0.200;14.100;86.100;0.200;652.100;0.200;92.100;0.200;1068.100;0.200;709.100;0.200;18.100;4.100;26.100;28.100;7.100;2468.100;0.200;22.100;284.100;0.200;54.100;0.200;243.100;0.200;4.100;3.100;2662.100;0.200;235.100;0.200;14.100;9.100;47.100
08/26/25,2,8:36:30,9:36:37,132.000,68.000,310.100;7.100;157.100;0.200;195.100;0.200;159.100;0.200;197.100;0.200;729.100;0.200;5.100;382.100;0.200;163.100;0.200;271.100;0.200;126.100;0.200;95.100;0.200;314.100;0.200;2.100;259.100;0.200;364.100;0.200;1295.100;0.200;668.100;0.200;126.100;0.200;894.100;0.200;915.100;0.200;11.100;6.100;75.100;0.200;30.100;9.100;26.100;29.100;141.100;0.200;66.100;0.200;533.100;0.200;594.100;0.200;8.100;476.100;0.200;516.100;0.200;127.100;0.200;1553.100;0.200;3.100;12.100;14.100;11.100;61.100;0.200;77.100;0.200;47.100;212.100;0.200;29.100;29.100;13.100;21.100;439.100;0.200;31.100;22.100;20.100;10.100;78.100;0.200;742.100;0.200;25.100;12.100;28.100;293.100;0.200;10.100;27.100;12.100;50.100;0.200;222.100;0.200;65.100;0.200;34.100;20.100;1299.100;0.200;405.100;0.200;243.100;0.200;16.100;31.100;840.100;0.200;1248.100;0.200;11.100;677.100;0.200;36.100;8.100;398.100;0.200;17.100;31.100;13.100;1053.100;0.200;3.100;45.100;10.100;156.100;0.200;150.100;0.200;12.100;17.100;760.100;0.200;983.100;0.200;409.100;0.200;26.100;1001.100;0.200;8.100;770.100;0.200;42.100;193.100;0.200;7.100;16.100;5.100;25.100;40.100;17.100;37.100;836.100;0.200;61.100;0.200;103.100;0.200;1179.100;0.200;17.100;9.100;45.100;569.100;0.200;26.100;7.100;307.100;0.200;766.100;0.200;1741.100;0.200;260.100;0.200;659.100;0.200;26.100;672.100;0.200;6.100;25.100;8.100;634.100;0.200;1009.100;0.200;54.100;0.200;11.100
