Date,AnimalID,StartTime,EndTime,TotalResponses,ReinforcedResponses,0-2s,2-4s,4-6s,6-8s,8-10s,10-12s,12-14s,14-16s,16-18s,18-20s,20-22s,22-24s,24-26s,26-28s,28-30s,30-32s,32-34s
08/26/25,1,8:10:48,8:21:08,45.000,30.000,30,1,1,2,0,0,2,1,0,1,0,0,1,2,1,0,0
08/26/25,2,8:10:48,8:21:08,20.000,16.000,15,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
08/26/25,3,8:10:48,8:21:08,36.000,27.000,27,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0
08/26/25,4,8:10:48,8:21:08,26.000,22.000,21,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
08/26/25,5,8:10:48,8:21:08,51.000,35.000,36,1,2,1,0,0,1,1,0,0,0,0,1,0,2,2,0
08/26/25,6,8:10:48,8:21:08,17.000,14.000,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
08/26/25,1,8:25:58,8:29:59,14.000,10.000,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08/26/25,2,8:25:58,8:29:59,11.000,8.000,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
08/26/25,3,8:25:58,8:29:59,13.000,13.000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/25,4,8:25:58,8:29:59,18.000,12.000,14,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
08/26/25,5,8:25:58,8:29:59,19.000,7.000,6,0,0,1,0,1,2,0,0,1,0,0,1,2,0,0,0
08/26/25,6,8:25:58,8:29:59,11.000,7.000,6,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
08/26/25,1,8:36:30,9:36:37,147.000,50.000,61,13,15,4,8,7,2,5,3,5,3,4,4,3,1,2,3
08/26/25,2,8:36:30,9:36:37,132.000,68.000,67,3,2,5,6,7,6,1,6,0,3,1,3,5,4,4,0
08/26/25,3,8:36:30,9:36:37,44.000,24.000,29,2,2,2,1,0,1,0,1,0,1,1,0,0,1,1,0
08/26/25,4,8:36:30,9:36:37,63.000,36.000,37,2,2,3,1,3,2,1,0,2,2,0,0,1,1,1,0
08/26/25,5,8:36:30,9:36:37,35.000,32.000,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
08/26/25,6,8:36:30,9:36:37,135.000,77.000,78,3,5,4,5,4,2,1,0,3,3,1,2,3,4,3,1
08/26/25,1,9:51:14,10:51:19,102.000,62.000,67,4,5,3,1,3,0,3,1,2,2,0,0,2,2,2,1
08/26/25,2,9:51:14,10:51:19,135.000,48.000,58,3,8,5,8,12,4,2,4,3,4,4,7,5,2,1,0
08/26/25,3,9:51:14,10:51:19,108.000,68.000,71,5,8,2,3,4,2,3,2,1,0,1,0,0,0,1,0
08/26/25,4,9:51:14,10:51:19,91.000,59.000,59,1,4,1,5,4,2,0,2,2,3,4,1,0,2,0,0
08/26/25,5,9:51:14,10:51:19,92.000,67.000,71,6,6,2,2,1,0,1,0,1,0,2,1,0,0,0,0
08/26/25,6,9:51:14,10:51:19,56.000,43.000,42,0,0,0,0,1,1,0,1,1,0,3,0,0,1,0,1
08/26/25,1,11:02:10,12:02:15,76.000,65.000,66,3,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0
08/26/25,2,11:02:10,12:02:15,85.000,66.000,65,0,4,8,3,3,0,0,0,0,0,1,0,0,0,0,0
08/26/25,3,11:02:10,12:02:15,79.000,68.000,67,1,1,2,0,1,1,1,0,0,2,0,0,0,0,0,0
08/26/25,4,11:02:10,12:02:15,187.000,80.000,98,20,24,14,2,6,3,1,3,3,2,0,4,2,1,0,1
08/26/25,5,11:02:10,12:02:15,68.000,56.000,56,1,2,1,1,1,1,0,0,3,0,0,1,0,0,0,0
08/26/25,6,11:02:10,12:02:15,124.000,97.000,97,3,2,3,0,2,1,0,5,0,1,2,0,1,1,1,0
08/26/25,1,12:09:26,13:09:32,83.000,77.000,76,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0
08/26/25,2,12:09:26,13:09:32,165.000,84.000,96,7,8,8,2,2,3,0,4,1,6,5,2,2,6,3,2
08/26/25,3,12:09:26,13:09:32,83.000,63.000,63,0,5,1,3,5,1,0,1,0,0,1,0,2,0,0,0
08/26/25,4,12:09:26,13:09:32,161.000,76.000,82,6,10,6,9,6,4,3,2,3,4,5,3,3,3,1,1
08/26/25,5,12:09:26,13:09:32,79.000,63.000,63,1,2,2,0,0,2,1,0,0,2,1,1,1,1,0,0
08/26/25,6,12:09:26,13:09:32,143.000,93.000,98,16,4,3,2,1,0,0,3,1,1,2,2,3,0,2,2
