subject	group	syllable	usage	treat
1	0	0	0.097499	Saline
19	1	0	0.063648	2BrLSD_0.3
2	1	0	0.039630	2BrLSD_0.3
13	1	0	0.083488	2BrLSD_0.3
18	0	0	0.090510	Saline
17	2	0	0.018410	2BrLSD_1
5	1	0	0.097761	2BrLSD_0.3
12	0	0	0.105844	Saline
4	0	0	0.075385	Saline
22	1	0	0.094897	2BrLSD_0.3
8	1	0	0.061874	2BrLSD_0.3
6	2	0	0.085847	2BrLSD_1
23	2	0	0.063938	2BrLSD_1
11	1	0	0.048549	2BrLSD_0.3
9	2	0	0.070071	2BrLSD_1
3	2	0	0.057368	2BrLSD_1
15	0	0	0.103690	Saline
7	0	0	0.109217	Saline
20	2	0	0.050216	2BrLSD_1
14	2	0	0.033853	2BrLSD_1
16	1	0	0.089436	2BrLSD_0.3
21	0	0	0.110991	Saline
10	0	0	0.118192	Saline
1	0	1	0.072333	Saline
19	1	1	0.025630	2BrLSD_0.3
2	1	1	0.015189	2BrLSD_0.3
13	1	1	0.052848	2BrLSD_0.3
18	0	1	0.056486	Saline
17	2	1	0.003917	2BrLSD_1
5	1	1	0.044966	2BrLSD_0.3
12	0	1	0.088224	Saline
4	0	1	0.067750	Saline
22	1	1	0.051211	2BrLSD_0.3
8	1	1	0.038672	2BrLSD_0.3
6	2	1	0.030742	2BrLSD_1
23	2	1	0.020973	2BrLSD_1
11	1	1	0.035900	2BrLSD_0.3
9	2	1	0.033315	2BrLSD_1
3	2	1	0.024367	2BrLSD_1
15	0	1	0.081206	Saline
7	0	1	0.099086	Saline
20	2	1	0.015963	2BrLSD_1
14	2	1	0.019682	2BrLSD_1
16	1	1	0.042906	2BrLSD_0.3
21	0	1	0.062936	Saline
10	0	1	0.071958	Saline
1	0	2	0.024375	Saline
19	1	2	0.040795	2BrLSD_0.3
2	1	2	0.052374	2BrLSD_0.3
13	1	2	0.037837	2BrLSD_0.3
18	0	2	0.028841	Saline
17	2	2	0.037603	2BrLSD_1
5	1	2	0.056618	2BrLSD_0.3
12	0	2	0.020915	Saline
4	0	2	0.023462	Saline
22	1	2	0.046256	2BrLSD_0.3
8	1	2	0.061874	2BrLSD_0.3
6	2	2	0.060615	2BrLSD_1
23	2	2	0.071676	2BrLSD_1
11	1	2	0.051339	2BrLSD_0.3
