subject	group	syllable	usage	treat
1	0	0	0.082104	Saline
6	2	0	0.089864	Ariadne_10
3	2	0	0.035517	Ariadne_10
14	1	0	0.075000	Ariadne_3
16	0	0	0.074963	Saline
19	0	0	0.020743	Saline
9	2	0	0.065019	Ariadne_10
8	1	0	0.037850	Ariadne_3
7	0	0	0.025434	Saline
10	0	0	0.069158	Saline
17	1	0	0.078848	Ariadne_3
22	1	0	0.055219	Ariadne_3
15	2	0	0.081259	Ariadne_10
4	0	0	0.015724	Saline
12	2	0	0.030808	Ariadne_10
11	1	0	0.027786	Ariadne_3
2	1	0	0.100187	Ariadne_3
18	2	0	0.024872	Ariadne_10
23	2	0	0.050524	Ariadne_10
20	1	0	0.034483	Ariadne_3
5	1	0	0.067540	Ariadne_3
21	2	0	0.044659	Ariadne_10
13	0	0	0.100775	Saline
1	0	1	0.046939	Saline
6	2	1	0.049686	Ariadne_10
3	2	1	0.039621	Ariadne_10
14	1	1	0.048438	Ariadne_3
16	0	1	0.058802	Saline
19	0	1	0.034973	Saline
9	2	1	0.024213	Ariadne_10
8	1	1	0.040810	Ariadne_3
7	0	1	0.046570	Saline
10	0	1	0.048201	Saline
17	1	1	0.031634	Ariadne_3
22	1	1	0.046230	Ariadne_3
15	2	1	0.036953	Ariadne_10
4	0	1	0.049396	Saline
12	2	1	0.034305	Ariadne_10
11	1	1	0.034374	Ariadne_3
2	1	1	0.036940	Ariadne_3
18	2	1	0.019080	Ariadne_10
23	2	1	0.042580	Ariadne_10
20	1	1	0.033026	Ariadne_3
5	1	1	0.061509	Ariadne_3
21	2	1	0.037417	Ariadne_10
13	0	1	0.052526	Saline
1	0	2	0.062166	Saline
6	2	2	0.037264	Ariadne_10
3	2	2	0.053630	Ariadne_10
14	1	2	0.043281	Ariadne_3
16	0	2	0.048235	Saline
19	0	2	0.012542	Saline
9	2	2	0.018964	Ariadne_10
8	1	2	0.030062	Ariadne_3
7	0	2	0.034211	Saline
10	0	2	0.041216	Saline
17	1	2	0.040132	Ariadne_3
22	1	2	0.029352	Ariadne_3
15	2	2	0.019985	Ariadne_10
4	0	2	0.022236	Saline
12	2	2	0.017319	Ariadne_10
11	1	2	0.015755	Ariadne_3
2	1	2	0.039552	Ariadne_3
18	2	2	0.005111	Ariadne_10
23	2	2	0.042421	Ariadne_10
20	1	2	0.016513	Ariadne_3
5	1	2	0.029979	Ariadne_3
21	2	2	0.014082	Ariadne_10
13	0	2	0.076183	Saline
1	0	3	0.016484	Saline
6	2	3	0.020089	Ariadne_10
3	2	3	0.026461	Ariadne_10
14	1	3	0.027813	Ariadne_3
16	0	3	0.022377	Saline
19	0	3	0.046068	Saline
