subject	group	syllable	usage	treat
22	0	0	0.063633	Saline
23	1	0	0.061605	LSD_0.1
16	0	0	0.067442	Saline
18	2	0	0.057773	LSD_0.3
24	2	0	0.060500	LSD_0.3
19	0	0	0.056844	Saline
17	1	0	0.074482	LSD_0.1
13	0	0	0.049420	Saline
3	2	0	0.057363	LSD_0.3
20	1	0	0.064590	LSD_0.1
21	2	0	0.051334	LSD_0.3
2	1	0	0.044572	LSD_0.1
10	0	0	0.090483	Saline
4	0	0	0.063308	Saline
8	1	0	0.068545	LSD_0.1
9	2	0	0.061861	LSD_0.3
15	2	0	0.050325	LSD_0.3
1	0	0	0.050471	Saline
14	1	0	0.082050	LSD_0.1
7	0	0	0.074248	Saline
12	2	0	0.049726	LSD_0.3
11	1	0	0.034575	LSD_0.1
5	1	0	0.082822	LSD_0.1
6	2	0	0.084124	LSD_0.3
22	0	1	0.061705	Saline
23	1	1	0.010323	LSD_0.1
16	0	1	0.078029	Saline
18	2	1	0.023875	LSD_0.3
24	2	1	0.024500	LSD_0.3
19	0	1	0.035932	Saline
17	1	1	0.069462	LSD_0.1
13	0	1	0.068131	Saline
3	2	1	0.023914	LSD_0.3
20	1	1	0.040907	LSD_0.1
21	2	1	0.045743	LSD_0.3
2	1	1	0.006753	LSD_0.1
10	0	1	0.031023	Saline
4	0	1	0.014415	Saline
8	1	1	0.019802	LSD_0.1
9	2	1	0.082953	LSD_0.3
15	2	1	0.007261	LSD_0.3
1	0	1	0.081675	Saline
14	1	1	0.072969	LSD_0.1
7	0	1	0.012326	Saline
12	2	1	0.010978	LSD_0.3
11	1	1	0.005554	LSD_0.1
5	1	1	0.029601	LSD_0.1
6	2	1	0.035375	LSD_0.3
22	0	2	0.036059	Saline
23	1	2	0.067266	LSD_0.1
16	0	2	0.036597	Saline
18	2	2	0.028431	LSD_0.3
24	2	2	0.040667	LSD_0.3
19	0	2	0.028327	Saline
17	1	2	0.041451	LSD_0.1
13	0	2	0.023592	Saline
3	2	2	0.039655	LSD_0.3
20	1	2	0.038611	LSD_0.1
21	2	2	0.029225	LSD_0.3
2	1	2	0.024650	LSD_0.1
10	0	2	0.041848	Saline
4	0	2	0.050082	Saline
8	1	2	0.024879	LSD_0.1
9	2	2	0.034472	LSD_0.3
15	2	2	0.037807	LSD_0.3
1	0	2	0.020733	Saline
14	1	2	0.029350	LSD_0.1
7	0	2	0.056053	Saline
12	2	2	0.046174	LSD_0.3
11	1	2	0.031351	LSD_0.1
5	1	2	0.041718	LSD_0.1
6	2	2	0.028041	LSD_0.3
22	0	3	0.029503	Saline
23	1	3	0.030303	LSD_0.1
16	0	3	0.020259	Saline
18	2	3	0.028978	LSD_0.3
24	2	3	0.040833	LSD_0.3
19	0	3	0.038213	Saline
17	1	3	0.033355	LSD_0.1
13	0	3	0.023998	Saline
3	2	3	0.040109	LSD_0.3
20	1	3	0.033013	LSD_0.1
21	2	3	0.036595	LSD_0.3
2	1	3	0.027351	LSD_0.1
10	0	3	0.033446	Saline
4	0	3	0.028682	Saline
8	1	3	0.022848	LSD_0.1
