subject	group	syllable	usage	treat
24	2	0	0.064490	Psilo_1
21	2	0	0.056679	Psilo_1
7	0	0	0.058900	Saline
1	0	0	0.057047	Saline
9	2	0	0.053430	Psilo_1
11	1	0	0.062042	Psilo_0.3
19	0	0	0.030140	Saline
20	1	0	0.041951	Psilo_0.3
16	0	0	0.025121	Saline
15	2	0	0.073300	Psilo_1
14	1	0	0.054901	Psilo_0.3
6	2	0	0.076780	Psilo_1
18	2	0	0.037315	Psilo_1
13	0	0	0.081747	Saline
4	0	0	0.053243	Saline
17	1	0	0.054079	Psilo_0.3
22	0	0	0.052770	Saline
2	1	0	0.049993	Psilo_0.3
10	0	0	0.066435	Saline
23	1	0	0.073872	Psilo_0.3
12	2	0	0.024014	Psilo_1
3	2	0	0.042702	Psilo_1
5	1	0	0.078298	Psilo_0.3
8	1	0	0.069582	Psilo_0.3
24	2	1	0.048036	Psilo_1
21	2	1	0.032169	Psilo_1
7	0	1	0.056314	Saline
1	0	1	0.051303	Saline
9	2	1	0.066496	Psilo_1
11	1	1	0.033564	Psilo_0.3
19	0	1	0.016663	Saline
20	1	1	0.036182	Psilo_0.3
16	0	1	0.038261	Saline
15	2	1	0.046546	Psilo_1
14	1	1	0.037700	Psilo_0.3
6	2	1	0.042524	Psilo_1
18	2	1	0.038735	Psilo_1
13	0	1	0.069869	Saline
4	0	1	0.056863	Saline
17	1	1	0.023263	Psilo_0.3
22	0	1	0.050140	Saline
2	1	1	0.046382	Psilo_0.3
10	0	1	0.045397	Saline
23	1	1	0.054851	Psilo_0.3
12	2	1	0.030623	Psilo_1
3	2	1	0.020608	Psilo_1
5	1	1	0.045853	Psilo_0.3
8	1	1	0.048763	Psilo_0.3
24	2	2	0.018047	Psilo_1
21	2	2	0.031250	Psilo_1
7	0	2	0.045539	Saline
1	0	2	0.086974	Saline
9	2	2	0.036048	Psilo_1
11	1	2	0.057771	Psilo_0.3
19	0	2	0.018623	Saline
20	1	2	0.014158	Psilo_0.3
16	0	2	0.050338	Saline
15	2	2	0.011545	Psilo_1
14	1	2	0.022856	Psilo_0.3
6	2	2	0.057881	Psilo_1
18	2	2	0.040560	Psilo_1
